row_label_raw,row_label_full,col_0,VND,numeric__VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,420.482.049.167,420482049167.0
Tăng trong năm,Giá gốc > Tăng trong năm,Tăng trong năm,19.614.719.822,19614719822.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,440.096.768.989,440096768989.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số dư đầu năm,Giá trị phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,155.248.012.742,155248012742.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,33.412.344.431,33412344431.0
Số dư cuối năm,Giá trị phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,188.660.357.173,188660357173.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,265.234.036.425,265234036425.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,251.436.411.816,251436411816.0
