row_label_raw,row_label_full,Ngân hàng TMCP Công thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Loại tiền > VND,31/12/2022 VND > 1.229.103.789.698 > - > 264.811.396.169,1/1/2022 VND > 722.015.730.585 > 10.891.350.830 > 659.516.860.825,numeric__Loại tiền > VND,numeric__31/12/2022 VND > 1.229.103.789.698 > - > 264.811.396.169,numeric__1/1/2022 VND > 722.015.730.585 > 10.891.350.830 > 659.516.860.825
Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,VND,436.326.026.864,497.843.841.474,,436326026864.0,497843841474.0
Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,VND,562.870.172.288,308.994.286.515,,562870172288.0,308994286515.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,305.917.475.964,81.499.557.236,,305917475964.0,81499557236.0
Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,USD,98.394.146.028,77.346.563.931,,98394146028.0,77346563931.0
Ngân hàng TMCP Quản đội,Ngân hàng TMCP Quản đội,Ngân hàng TMCP Quản đội,VND,3.285.784.384,39.351.492.520,,3285784384.0,39351492520.0
Ngân hàng TNHH MTV Shinhan Bank Việt Nam,Ngân hàng TNHH MTV Shinhan Bank Việt Nam,Ngân hàng TNHH MTV Shinhan Bank Việt Nam,VND,166.966.190.893,38.832.286.311,,166966190893.0,38832286311.0
Ngân hàng TNHH MTV Shinhan Bank Việt Nam,Ngân hàng TNHH MTV Shinhan Bank Việt Nam,Ngân hàng TNHH MTV Shinhan Bank Việt Nam,USD,12.127.320.000,-,,12127320000.0,
Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,VND,138.893.055.823,-,,138893055823.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,VND,12.340.000.000,22.584.166.393,,12340000000.0,22584166393.0
,,,,3.231.035.358.111,2.458.876.136.620,,3231035358111.0,2458876136620.0
