row_label_raw,row_label_full,col_0,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải nộp cuối năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,87.354.270.598,68.455.452.055,18.898.818.543,,87354270598.0,68455452055.0,18898818543.0
"- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu",-,127.771.059,127.771.059,-,,127771059.0,127771059.0,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,18.085.650.823,62.628.372.741,22.439.464.838,58.274.558.726,18085650823.0,62628372741.0,22439464838.0,58274558726.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,242.512.594,9.275.785.559,9.315.136.956,203.161.197,242512594.0,9275785559.0,9315136956.0,203161197.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,828.656.567,35.581.880.477,35.163.000.285,1.247.536.759,828656567.0,35581880477.0,35163000285.0,1247536759.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",-,3.276.516.978,3.276.516.978,-,,3276516978.0,3276516978.0,
- Thuế nhà thầu,- Thuế nhà thầu,- Thuế nhà thầu,-,2.484.520.270,2.450.050.965,34.469.305,,2484520270.0,2450050965.0,34469305.0
- Thuế môn bài,- Thuế môn bài,- Thuế môn bài,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",1.826.832.172,18.081.223.805,16.511.844.381,3.396.211.596,1826832172.0,18081223805.0,16511844381.0,3396211596.0
,,,20.983.652.156,218.813.341.487,157.742.237.517,82.054.756.126,20983652156.0,218813341487.0,157742237517.0,82054756126.0
