row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.327.702.940.000,711.136.556.786,(4.320.000),84.979.549.960,32.004.973.686,646.716.585.858,2.802.536.286.290,1327702940000.0,711136556786.0,-4320000.0,84979549960.0,32004973686.0,646716585858.0,2802536286290.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,499.207.125.479,499.207.125.479,,,,,,499207125479.0,499207125479.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,29.475.780.695,14.737.890.348,(345.124.327.877),(35.370.936.834),,,,29475780695.0,14737890348.0,-345124327877.0,-35370936834.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,29.475.780.695,,(29.475.780.695),-,,,,29475780695.0,,-29475780695.0,
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,14.737.890.348,(14.737.890.348),-,,,,,14737890348.0,-14737890348.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(29.475.780.696),(29.475.780.696),,,,,,-29475780696.0,-29475780696.0
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,-,(5.895.156.138),(5.895.156.138),,,,,,-5895156138.0,-5895156138.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,265.539.720.000,-,-,-,-,(265.539.720.000),-,265539720000.0,,,,,-265539720000.0,
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.593.242.660.000,711.136.556.786,(4.320.000),114.455.330.655,46.742.864.034,800.799.383.460,3.266.372.474.935,1593242660000.0,711136556786.0,-4320000.0,114455330655.0,46742864034.0,800799383460.0,3266372474935.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.593.242.660.000,711.136.556.786,(4.320.000),114.455.330.655,46.742.864.034,800.799.383.460,3.266.372.474.935,1593242660000.0,711136556786.0,-4320000.0,114455330655.0,46742864034.0,800799383460.0,3266372474935.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,704.807.968.784,704.807.968.784,,,,,,704807968784.0,704807968784.0
Phân phối lợi nhuận(*),Phân phối lợi nhuận(*),Phân phối lợi nhuận(*),-,-,-,-,-,(408.355.100.728),(36.047.429.204),,,,,,-408355100728.0,-36047429204.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,35.779.161.016,-,(35.779.161.016),-,,,,35779161016.0,,-35779161016.0,
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,17.889.580.508,(17.889.580.508),-,,,,,17889580508.0,-17889580508.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(36.047.429.204),(36.047.429.204),,,,,,-36047429204.0,-36047429204.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,318.638.930.000,-,-,-,-,(318.638.930.000),-,318638930000.0,,,,,-318638930000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.911.881.590.000,711.136.556.786,(4.320.000),150.234.491.671,64.632.444.542,1.097.252.251.516,3.935.133.014.515,1911881590000.0,711136556786.0,-4320000.0,150234491671.0,64632444542.0,1097252251516.0,3935133014515.0
