row_label_raw,row_label_full,col_0,Chung cưNàng HươngVND,Chung cưMỹ Đình PlazaVND,Chung cư PCC1 Hà Đông ComplexVND,CộngVND,numeric__Chung cưNàng HươngVND,numeric__Chung cưMỹ Đình PlazaVND,numeric__Chung cư PCC1 Hà Đông ComplexVND,numeric__CộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,24.269.520.970,125.823.873.019,11076525175.0,90477826874.0,24269520970.0,125823873019.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,24.269.520.970,125.823.873.019,11076525175.0,90477826874.0,24269520970.0,125823873019.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.701.841.643,21.934.704.810,3.401.722.434,29.038.268.887,3701841643.0,21934704810.0,3401722434.0,29038268887.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,399.871.729,4.384.467.965,973.440.509,5.757.780.203,399871729.0,4384467965.0,973440509.0,5757780203.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.101.713.372,26.319.172.775,4.375.162.943,34.796.049.090,4101713372.0,26319172775.0,4375162943.0,34796049090.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.374.683.532,68.543.122.064,20.867.798.536,96.785.604.132,7374683532.0,68543122064.0,20867798536.0,96785604132.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,6.974.811.803,64.158.654.099,19.894.358.027,91.027.823.929,6974811803.0,64158654099.0,19894358027.0,91027823929.0
