row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất Công nghiệp,Kinh doanh Bất động sản,Mua bán điện,Mua Bán hàng hóa,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất Công nghiệp,numeric__Kinh doanh Bất động sản,numeric__Mua bán điện,numeric__Mua Bán hàng hóa,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.939.421.981.524,537.244.607.179,14.889.167.992,479.866.981.961,1.142.272.497.908,13.324.629.320,5.127.019.865.884,2939421981524.0,537244607179.0,14889167992.0,479866981961.0,1142272497908.0,13324629320.0,5127019865884.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,2.687.258.927.138,500.410.256.789,7.661.945.784,181.660.233.501,1.116.642.496.611,8.395.725.716,4.502.029.585.539,2687258927138.0,500410256789.0,7661945784.0,181660233501.0,1116642496611.0,8395725716.0,4502029585539.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,252.163.054.386,36.834.350.390,7.227.222.208,298.206.748.460,25.630.001.297,4.928.903.604,624.990.280.345,252163054386.0,36834350390.0,7227222208.0,298206748460.0,25630001297.0,4928903604.0,624990280345.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,2.649.092.162,1.321.818.182,-,337.875.566.110,-,-,341.846.476.454,2649092162.0,1321818182.0,,337875566110.0,,,341846476454.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.174.935.191.595,67.799.605.848,198.688.958.857,2.461.987.045.663,262.440.973.882,10.974.149.917,5.176.825.925.762,2174935191595.0,67799605848.0,198688958857.0,2461987045663.0,262440973882.0,10974149917.0,5176825925762.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,3.662.756.236.010,,,,,,,3662756236010.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.174.935.191.595,67.799.605.848,198.688.958.857,2.461.987.045.663,262.440.973.882,10.974.149.917,8.839.582.161.772,2174935191595.0,67799605848.0,198688958857.0,2461987045663.0,262440973882.0,10974149917.0,8839582161772.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.372.794.998.821,33.414.670.763,14.438.516.297,1.553.107.615.066,180.555.233.006,-,3.154.311.033.953,1372794998821.0,33414670763.0,14438516297.0,1553107615066.0,180555233006.0,,3154311033953.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,1.750.138.113.304,,,,,,,1750138113304.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.372.794.998.821,33.414.670.763,14.438.516.297,1.553.107.615.066,180.555.233.006,-,4.904.449.147.257,1372794998821.0,33414670763.0,14438516297.0,1553107615066.0,180555233006.0,,4904449147257.0
