row_label_raw,row_label_full,Thuế TNDN phải nộp của HĐKD bất động sản (2),-,2.899.276.755,numeric__-,numeric__2.899.276.755
Thuế TNDN từ hoạt động kinh doanh thủy điện,Thuế TNDN từ hoạt động kinh doanh thủy điện,Thuế TNDN từ hoạt động kinh doanh thủy điện,,,,
Tổng lợi nhuận kế toán từ hoạt động kinh doanh thủy điện,Thuế TNDN từ hoạt động kinh doanh thủy điện > Tổng lợi nhuận kế toán từ hoạt động kinh doanh thủy điện,Tổng lợi nhuận kế toán từ hoạt động kinh doanh thủy điện,199.771.754.941,190.177.348.946,199771754941.0,190177348946.0
Thu nhập tính thuế TNDN của các dự án có thuế suất 10% (dự án thủy điện,Thuế TNDN từ hoạt động kinh doanh thủy điện > Thu nhập tính thuế TNDN của các dự án có thuế suất 10% (dự án thủy điện,Thu nhập tính thuế TNDN của các dự án có thuế suất 10% (dự án thủy điện,12.998.329.991,-,12998329991.0,
"Bảo Lạc B, Sống Nhiệm 4)","Bảo Lạc B, Sống Nhiệm 4)","Bảo Lạc B, Sống Nhiệm 4)",,,,
Thu nhập tính thuế TNDN của các dự án miễn thuế TNDN (dự án thủy điện,"Bảo Lạc B, Sống Nhiệm 4) > Thu nhập tính thuế TNDN của các dự án miễn thuế TNDN (dự án thủy điện",Thu nhập tính thuế TNDN của các dự án miễn thuế TNDN (dự án thủy điện,186.773.424.951,190.177.348.946,186773424951.0,190177348946.0
"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A)","Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A)","Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A)",,,,
Thuế TNDN phải nộp của HĐKD thủy điện (3),"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A) > Thuế TNDN phải nộp của HĐKD thủy điện (3)",Thuế TNDN phải nộp của HĐKD thủy điện (3),1.299.832.999,-,1299832999.0,
Tổng Chi phí thuế TNDN hiện hành (4)=(1)+(2)+(3),"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A) > Tổng Chi phí thuế TNDN hiện hành (4)=(1)+(2)+(3)",Tổng Chi phí thuế TNDN hiện hành (4)=(1)+(2)+(3),62.628.372.741,21.810.598.193,62628372741.0,21810598193.0
Thuế thu nhập doanh nghiệp phải nộp đầu năm,"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A) > Thuế thu nhập doanh nghiệp phải nộp đầu năm",Thuế thu nhập doanh nghiệp phải nộp đầu năm,18.085.650.823,15.728.343.732,18085650823.0,15728343732.0
Thuế thu nhập doanh nghiệp đã nộp trong năm,"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A) > Thuế thu nhập doanh nghiệp đã nộp trong năm",Thuế thu nhập doanh nghiệp đã nộp trong năm,(22.439.464.838),(19.453.291.102),-22439464838.0,-19453291102.0
Tổng thuế TNDN phải nộp cuối năm,"Bảo Lâm 1, Bảo Lâm 3, Bảo Lâm 3A) > Tổng thuế TNDN phải nộp cuối năm",Tổng thuế TNDN phải nộp cuối năm,58.274.558.726,18.085.650.823,58274558726.0,18085650823.0
