row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.300.061.223.658,-,-,1.300.061.223.658,1300061223658.0,,,1300061223658.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.560.637.606.999,-,-,1.560.637.606.999,1560637606999.0,,,1560637606999.0
Các khoản cho vay,Tại ngày 31/12/2020 > Các khoản cho vay,Các khoản cho vay,62.891.072.771,-,-,62.891.072.771,62891072771.0,,,62891072771.0
,,,2.923.589.903.428,-,-,2.923.589.903.428,2923589903428.0,,,2923589903428.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,478.438.210.075,-,-,478.438.210.075,478438210075.0,,,478438210075.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.049.694.282.409,-,-,1.049.694.282.409,1049694282409.0,,,1049694282409.0
Các khoản cho vay,Tại ngày 01/01/2020 > Các khoản cho vay,Các khoản cho vay,187.000.000.000,-,-,187.000.000.000,187000000000.0,,,187000000000.0
,,,1.715.132.492.484,-,-,1.715.132.492.484,1715132492484.0,,,1715132492484.0
