row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,537.700.981.864,1.088.133.822.637,50.998.061.319,48.038.547.985,1.724.871.413.805,537700981864.0,1088133822637.0,50998061319.0,48038547985.0,1724871413805.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,112.042.203,1.978.706.138,4.407.200.000,235.901.791,6.733.850.132,112042203.0,1978706138.0,4407200000.0,235901791.0,6733850132.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.420.914.505),-,-,(30.454.545),(4.451.369.050),-4420914505.0,,,-30454545.0,-4451369050.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,533.392.109.562,1.090.112.528.775,55.405.261.319,48.243.995.231,1.727.153.894.887,533392109562.0,1090112528775.0,55405261319.0,48243995231.0,1727153894887.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,212.646.988.773,412.810.450.105,31.244.104.517,28.764.979.001,685.466.522.396,212646988773.0,412810450105.0,31244104517.0,28764979001.0,685466522396.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,26.641.159.353,75.602.982.003,3.923.006.508,4.091.291.883,110.258.439.747,26641159353.0,75602982003.0,3923006508.0,4091291883.0,110258439747.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.812.574.982),-,-,(30.454.545),(1.843.029.527),-1812574982.0,,,-30454545.0,-1843029527.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,237.475.573.144,488.413.432.108,35.167.111.025,32.825.816.339,793.881.932.616,237475573144.0,488413432108.0,35167111025.0,32825816339.0,793881932616.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,325.053.993.091,675.323.372.532,19.753.956.802,19.273.568.984,1.039.404.891.409,325053993091.0,675323372532.0,19753956802.0,19273568984.0,1039404891409.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,295.916.536.418,601.699.096.667,20.238.150.294,15.418.178.892,933.271.962.271,295916536418.0,601699096667.0,20238150294.0,15418178892.0,933271962271.0
