row_label_raw,row_label_full,Vay,Vay_1,Vay_2,Vay_3,Vay_4,Vay_5,numeric__Vay_1,numeric__Vay_2,numeric__Vay_3,numeric__Vay_4,numeric__Vay_5
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
,,,1/1/2021Giá trị ghi sổ và số có khả năng trả nợ VND,Tăng VND,Biến động trong nămGiảm VND,Chênh lệch tỷ giá VND,31/12/2021Giá trị ghi sổ và số có khả năng trả nợ VND,,,,,
Vay ngắn hạn,Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,179.247.031.648,556.430.504.127,(527.221.112.247),(2.944.849.168),205.511.574.360,179247031648.0,556430504127.0,-527221112247.0,-2944849168.0,205511574360.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,137.985.579.319,"136.786.915.331,00",(175.652.946.623),(1.494.398.333),97.625.149.694,137985579319.0,136786915331.0,-175652946623.0,-1494398333.0,97625149694.0
,,,317.232.610.967,693.217.419.458,(702.874.058.870),(4.439.247.501),303.136.724.054,317232610967.0,693217419458.0,-702874058870.0,-4439247501.0,303136724054.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,,
,,,,,Loại tiền,Lãi suất năm (%),31/12/2021 VND,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Mỹ Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Mỹ Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Mỹ Đình,USD,"2,3%",51.450.759.846,51.987.295.846,,,0.023,51450759846.0,51987295846.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,USD,"2,3%",136.807.715.754,127.259.735.802,,,0.023,136807715754.0,127259735802.0,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Hoàn Kiểm,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Hoàn Kiểm,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Hoàn Kiểm,USD,"2,3%",17.253.098.760,-,,,0.023,17253098760.0,,
,,,,,205.511.574.360,179.247.031.648,,,,205511574360.0,179247031648.0,
