row_label_raw,row_label_full,col_0,Nămđáo hạn,31/12/2021VND,1/1/2021VND,numeric__Nămđáo hạn,numeric__31/12/2021VND,numeric__1/1/2021VND
Phải thu về cho vay các công ty con,Phải thu về cho vay các công ty con,Phải thu về cho vay các công ty con,Phải thu về cho vay các công ty con,Phải thu về cho vay các công ty con,Phải thu về cho vay các công ty con,,,
Tổng Công ty Cổ phần Phong Phú (i),Phải thu về cho vay các công ty con > Tổng Công ty Cổ phần Phong Phú (i),Tổng Công ty Cổ phần Phong Phú (i),2035,514.420.670.005,531.150.923.620,2035.0,514420670005.0,531150923620.0
Tổng Công ty Cổ phần Dệt May Hà Nội (i) – công ty con cấp 2,Phải thu về cho vay các công ty con > Tổng Công ty Cổ phần Dệt May Hà Nội (i) – công ty con cấp 2,Tổng Công ty Cổ phần Dệt May Hà Nội (i) – công ty con cấp 2,2035,210.167.714.008,217.002.896.414,2035.0,210167714008.0,217002896414.0
Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),Phải thu về cho vay các công ty con > Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),2035,206.936.601.158,213.666.699.872,2035.0,206936601158.0,213666699872.0
Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),Phải thu về cho vay các công ty con > Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),2035,130.166.663.496,134.400.010.740,2035.0,130166663496.0,134400010740.0
Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2,Phải thu về cho vay các công ty con > Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2,Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2,2022,-,32.400.000.000,2022.0,,32400000000.0
Công ty Cổ phần Dệt May Huế (i),Phải thu về cho vay các công ty con > Công ty Cổ phần Dệt May Huế (i),Công ty Cổ phần Dệt May Huế (i),2035,78.626.493.876,81.183.625.042,2035.0,78626493876.0,81183625042.0
Công ty TNHH Một thành viên Đệt 8-3 – công ty con cấp 2 (i),Phải thu về cho vay các công ty con > Công ty TNHH Một thành viên Đệt 8-3 – công ty con cấp 2 (i),Công ty TNHH Một thành viên Đệt 8-3 – công ty con cấp 2 (i),2035,73.505.789.988,75.896.383.023,2035.0,73505789988.0,75896383023.0
Công ty TNHH Một thành viên Đệt Kim Đông Xuân (i),Phải thu về cho vay các công ty con > Công ty TNHH Một thành viên Đệt Kim Đông Xuân (i),Công ty TNHH Một thành viên Đệt Kim Đông Xuân (i),2035,58.232.988.167,60.126.871.358,2035.0,58232988167.0,60126871358.0
Công ty TNHH MTV Dệt kim Đông Phương (ii),Phải thu về cho vay các công ty con > Công ty TNHH MTV Dệt kim Đông Phương (ii),Công ty TNHH MTV Dệt kim Đông Phương (ii),2024,6.400.000.000,-,2024.0,6400000000.0,
Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt may (iii),Phải thu về cho vay các công ty con > Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt may (iii),Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt may (iii),2023,3.500.000.000,-,2023.0,3500000000.0,
Công ty TNHH Tổng công ty Đệt may miễn Nam – Vinatex (iv),Phải thu về cho vay các công ty con > Công ty TNHH Tổng công ty Đệt may miễn Nam – Vinatex (iv),Công ty TNHH Tổng công ty Đệt may miễn Nam – Vinatex (iv),2023,4.000.000.000,-,2023.0,4000000000.0,
,,,,1.285.956.920.698,1.345.827.410.069,,1285956920698.0,1345827410069.0
