row_label_raw,row_label_full,col_0,Giá trị giao dịch > 2021 VND,Giá trị giao dịch > 2020 VND,numeric__Giá trị giao dịch > 2021 VND,numeric__Giá trị giao dịch > 2020 VND
Công ty Cổ phần May Đáp Cầu,Công ty Cổ phần May Đáp Cầu,Công ty Cổ phần May Đáp Cầu,Công ty Cổ phần May Đáp Cầu,Công ty Cổ phần May Đáp Cầu,,
Cổ tức,Công ty Cổ phần May Đáp Cầu > Cổ tức,Cổ tức,2.461.095.000,1.640.730.000,2461095000.0,1640730000.0
Doanh thu bán hàng hóa và cung cấp dịch vụ,Công ty Cổ phần May Đáp Cầu > Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,22.775.000,180.952,22775000.0,180952.0
Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,,
Cổ tức,Tổng Công ty Đức Giang – CTCP > Cổ tức,Cổ tức,7.923.055.000,6.338.446.000,7923055000.0,6338446000.0
Mua hàng hóa,Tổng Công ty Đức Giang – CTCP > Mua hàng hóa,Mua hàng hóa,130.737.390.680,89.647.152.865,130737390680.0,89647152865.0
Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,,
Cổ tức,Tổng Công ty Cổ phần May Việt Tiến > Cổ tức,Cổ tức,16.087.104.000,26.811.840.000,16087104000.0,26811840000.0
Doanh thu bán hàng hóa và cung cấp dịch vụ,Tổng Công ty Cổ phần May Việt Tiến > Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,-,3.284.025.940,,3284025940.0
Mua hàng hóa,Tổng Công ty Cổ phần May Việt Tiến > Mua hàng hóa,Mua hàng hóa,15.399.999,24.149.636,15399999.0,24149636.0
Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,,
Cổ tức,Tổng Công ty May Hưng Yên – CTCP > Cổ tức,Cổ tức,14.230.337.500,6.640.824.960,14230337500.0,6640824960.0
Cung cấp dịch vụ,Tổng Công ty May Hưng Yên – CTCP > Cung cấp dịch vụ,Cung cấp dịch vụ,103.600.000,100.000.000,103600000.0,100000000.0
Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,,
Doanh thu bán hàng hóa,Công ty Cổ phần Dệt lụa Nam Định > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.271.208.747,734.236.650,1271208747.0,734236650.0
Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,,
Cổ tức,Công ty Cổ phần May Nam Định > Cổ tức,Cổ tức,1.350.000.000,1.350.000.000,1350000000.0,1350000000.0
Doanh thu bán hàng và cung cấp dịch vụ,Công ty Cổ phần May Nam Định > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,168.988.659,8.671.398.024,168988659.0,8671398024.0
Mua hàng hóa,Công ty Cổ phần May Nam Định > Mua hàng hóa,Mua hàng hóa,-,16.184.624.543,,16184624543.0
Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,,
Cổ tức,Tổng Công ty May Nhà Bè - CTCP > Cổ tức,Cổ tức,5.040.000.000,6.048.000.000,5040000000.0,6048000000.0
Bán hàng hóa và cung cấp dịch vụ,Tổng Công ty May Nhà Bè - CTCP > Bán hàng hóa và cung cấp dịch vụ,Bán hàng hóa và cung cấp dịch vụ,1.625.048.270,2.083.795.865,1625048270.0,2083795865.0
Mua hàng hóa,Tổng Công ty May Nhà Bè - CTCP > Mua hàng hóa,Mua hàng hóa,20.372.727,52.912.273,20372727.0,52912273.0
Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,,
Cổ tức,Công ty Cổ phần Vinatex Đà Nẵng > Cổ tức,Cổ tức,900.000.000,900.000.000,900000000.0,900000000.0
Bán hàng hóa,Công ty Cổ phần Vinatex Đà Nẵng > Bán hàng hóa,Bán hàng hóa,1.800.000,-,1800000.0,
Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,,
Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,,
Cổ tức,Công ty Cổ phần Vinatex OJ > Cổ tức,Cổ tức,1.132.000.000,1.161.500.000,1132000000.0,1161500000.0
