row_label_raw,row_label_full,Công ty liên kết (iii),468.344.946.987,468.344.946.987_1,numeric__468.344.946.987,numeric__468.344.946.987_1
Bên liên quan khác (iv),Bên liên quan khác (iv),Bên liên quan khác (iv),257.619.240.719,1.131.357.361.490,257619240719.0,1131357361490.0
,,,725.964.187.706,1.599.702.308.477,725964187706.0,1599702308477.0
