row_label_raw,row_label_full,col_0,Tàu bay vàcác bộ phậnVND,Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bị vănphòngVND,Tổng cộngVND,numeric__Tàu bay vàcác bộ phậnVND,numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bị vănphòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.617.393.753.474,24.440.975.624,19.839.021.566,25.447.116.476,1.687.120.867.140,1617393753474.0,24440975624.0,19839021566.0,25447116476.0,1687120867140.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,1.042.150.000,1.042.150.000,,,,1042150000.0,1042150000.0
Xây dựng cơ bản mới hoànthành (Thuyết minh 11),Nguyên giá > Xây dựng cơ bản mới hoànthành (Thuyết minh 11),Xây dựng cơ bản mới hoànthành (Thuyết minh 11),622.939.531.790,78.154.865.640,47.454.960.196,29.513.546.502,778.062.904.128,622939531790.0,78154865640.0,47454960196.0,29513546502.0,778062904128.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,91.097.667,(91.097.667),-,-,-,91097667.0,-91097667.0,,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.343.610.388.704),-,-,-,(1.343.610.388.704),-1343610388704.0,,,,-1343610388704.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,896.813.994.227,102.504.743.597,67.293.981.762,56.002.812.978,1.122.615.532.564,896813994227.0,102504743597.0,67293981762.0,56002812978.0,1122615532564.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,333.494.428.740,20.999.519.620,16.021.746.370,15.567.080.571,386.082.775.301,333494428740.0,20999519620.0,16021746370.0,15567080571.0,386082775301.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,123.563.796.627,6.822.011.316,3.732.411.089,6.042.357.382,140.160.576.414,123563796627.0,6822011316.0,3732411089.0,6042357382.0,140160576414.0
"Thanh lý, nhượng bán","Khẩu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(252.112.476.003),-,-,-,(252.112.476.003),-252112476003.0,,,,-252112476003.0
Tại ngày 31 tháng 12 năm 2020,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,204.945.749.364,27.821.530.936,19.754.157.459,21.609.437.953,274.130.875.712,204945749364.0,27821530936.0,19754157459.0,21609437953.0,274130875712.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.283.899.324.734,3.441.456.004,3.817.275.196,9.880.035.905,1.301.038.091.839,1283899324734.0,3441456004.0,3817275196.0,9880035905.0,1301038091839.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,691.868.244.863,74.683.212.661,47.539.824.303,34.393.375.025,848.484.656.852,691868244863.0,74683212661.0,47539824303.0,34393375025.0,848484656852.0
