row_label_raw,row_label_full,Bên thứ baĐặt cọc mua tàu bay nhận trong 12 tháng tiếp theo (i),2020 > Giá trị VND > 4.189.158.334.254,2020 > Dự phòng VND > -,2019 > Giá trị VND > 3.105.297.136.367,2019 > Dự phòng VND > -,numeric__2020 > Giá trị VND > 4.189.158.334.254,numeric__2020 > Dự phòng VND > -,numeric__2019 > Giá trị VND > 3.105.297.136.367,numeric__2019 > Dự phòng VND > -
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,1.824.881.774.817,-,2.078.881.774.817,-,1824881774817.0,,2078881774817.0,
Khoản chiết khấu từ nhà cung cấp,Khoản chiết khấu từ nhà cung cấp,Khoản chiết khấu từ nhà cung cấp,689.174.934.689,-,187.968.684.950,-,689174934689.0,,187968684950.0,
Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,232.782.861.484,-,282.879.455.806,-,232782861484.0,,282879455806.0,
Trả hộ (ii),Trả hộ (ii),Trả hộ (ii),130.300.848.969,-,-,-,130300848969.0,,,
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,2.567.578.082,-,8.556.268.493,-,2567578082.0,,8556268493.0,
Khác,Khác,Khác,493.704.739.645,-,375.610.532.550,-,493704739645.0,,375610532550.0,
,,,7.562.571.071.940,-,6.039.193.852.983,-,7562571071940.0,,6039193852983.0,
Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),4.249.687.219.054,-,2.221.234.446.569,-,4249687219054.0,,2221234446569.0,
,,,11.812.258.290.994,-,8.260.428.299.552,-,11812258290994.0,,8260428299552.0,
