row_label_raw,row_label_full,Cổ đông lớn,131.582.161,458.737.661,numeric__131.582.161,numeric__458.737.661
Công ty con,Công ty con,Công ty con,75.032.177.912,55.618.087.013,75032177912.0,55618087013.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,5.298.624.920,1.189.434.860,5298624920.0,1189434860.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,834.481.786,-,834481786.0,
,,,81.296.866.779,57.266.259.534,81296866779.0,57266259534.0
