row_label_raw,row_label_full,Bên cho vay,Loại tiền,2020 VND,2019 VND,numeric__Loại tiền,numeric__2020 VND,numeric__2019 VND
Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,,,
"Ngân hàng TMCP Phát triển Thánh phố Hồ Chí Minh, một bên liên quan (*)","Ngân hàng TMCP Phát triển Thánh phố Hồ Chí Minh, một bên liên quan (*)","Ngân hàng TMCP Phát triển Thánh phố Hồ Chí Minh, một bên liên quan (*)",USD,1 921 659.266 962,1 366 643 484 671,,,
Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,1 973 275.655 305,2 398 451 410 411,,,
Ngân hàng TMCP Quản Đôi,Ngân hàng TMCP Quản Đôi,Ngân hàng TMCP Quản Đôi,VND,1 080 441.555 760,291 680 216 686,,,
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thánh phố Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thánh phố Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thánh phố Hồ Chí Minh",VND,586.197 161.571,617.544 457 880,,,
Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,VND,449.735.795 752,-,,,
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,USD,226.640.066 933,268.808.055 678,,,
"Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh","Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh","Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh",VND,123.411.192 331,51 529.456 152,,,
Ngân hàng TNHH Một thành viên HSBC Việt Nam,Ngân hàng TNHH Một thành viên HSBC Việt Nam,Ngân hàng TNHH Một thành viên HSBC Việt Nam,VND,109.900.032 120,950.427.034 104,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,-,899.694.699 335,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,-,498.769.230 200,,,
"Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh",VND,-,483.399.422 787,,,
"Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh > Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh",USD,-,134.342.641.635,,,134342641635.0
Ngân hàng TMCP Kỹ thương Việt Nam,"Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh > Ngân hàng TMCP Kỹ thương Việt Nam",Ngân hàng TMCP Kỹ thương Việt Nam,USD,-,77.771.609.445,,,77771609445.0
"Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh","Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh","Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh",VND,-,54 799.909 203,,,
,,,,6.471 260.726 734,8.093.861 628 187,,,
