row_label_raw,row_label_full,Ban Kiểm soát,Bà Trần Dương Ngọc ThảoBà Đoàn Thu HươngÔng Phạm Văn Đầu,Trường banThành viênThành viên,numeric__Bà Trần Dương Ngọc ThảoBà Đoàn Thu HươngÔng Phạm Văn Đầu,numeric__Trường banThành viênThành viên
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Bà Nguyễn Thanh HàBà Nguyễn Thị Phương ThảoÔng Đình Việt PhươngÔng Lưu Đức Khánh,Chủ tịchTổng Giám đốcPhó Tổng Giám đốc kiểmGiám đốc điều hành(từ ngày 1 tháng 10 năm 2020)Giám đốc điều hành(đến ngày 1 tháng 10 năm 2020),,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"302/3 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình,Thành phố Hà Nội, Việt Nam","302/3 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình,Thành phố Hà Nội, Việt Nam",,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH PwC (Việt Nam),Công ty TNHH PwC (Việt Nam),,
