row_label_raw,row_label_full,STT,Bên liên quan,Mối quan hệ,numeric__Bên liên quan,numeric__Mối quan hệ
1.,1.,1.,Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,Công ty liên kết,,
2.,2.,2.,Công ty CP Đức Long Tây Nguyên,Công ty liên kết đến ngày 27/12/2022,,
3.,3.,3.,Công ty CP DLG CY Việt Nam,Công ty liên kết đến ngày 27/12/2022,,
4.,4.,4.,Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,Công ty nhận đầu tư,,
5.,5.,5.,Công ty TNHH Đức Long Dung Quất,Chung thành viên lãnh đạo đến ngày 05/01/2023,,
6.,6.,6.,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo điều hành,,
7.,7.,7.,Công ty CP Tập đoàn Alpha Seven,Chung cổ đông lớn,,
8.,8.,8.,Công ty TNHH Điện Từ DLG Ansen,Chung cổ đông lớn,,
9.,9.,9.,Công ty CP Năng Lượng Tân Thượng,Chung thành viên lãnh đạo,,
10.,10.,10.,Ông Bùi Pháp,Chủ tịch HĐQT,,
11.,11.,11.,Bà Nguyễn Thị Hương,Người có liên quan đến Ông Bùi Pháp,,
12.,12.,12.,Ông Võ Mộng Hùng,"Thành viên HĐQT, Trường ban kiểm toán nội bộ",,
