row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Phần mềm máy tính,Chi phí triển khai,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Chi phí triển khai,numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,81.652.795,397.684.000,228.517.964.618,228.997.301.413,81652795.0,397684000.0,228517964618.0,228997301413.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,-,-,17.588.725.010,17.588.725.010,,,17588725010.0,17588725010.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,-,-,11.172.039.256,11.172.039.256,,,11172039256.0,11172039256.0
- Chênh lệch do chuyển đổi BCTC,I. Nguyên giá TSCĐ hữu hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,6.416.685.754,6.416.685.754,,,6416685754.0,6416685754.0
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,-,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,81.652.795,397.684.000,246.106.689.628,246.586.026.423,81652795.0,397684000.0,246106689628.0,246586026423.0
II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,,,,,,,,
1 Số dư đầu năm,II Giá trị hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,81.652.795,397.684.000,201.168.697.558,201.648.034.353,81652795.0,397684000.0,201168697558.0,201648034353.0
2. Tăng trong năm,II Giá trị hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,-,-,20.722.705.743,20.722.705.743,,,20722705743.0,20722705743.0
- Khấu hao trong năm,II Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,-,15.051.725.040,15.051.725.040,,,15051725040.0,15051725040.0
- Chênh lệch do chuyển đổi BCTC,II Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,5.670.980.703,5.670.980.703,,,5670980703.0,5670980703.0
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,-,-,-,-,,,,
4. Số dư cuối năm,3. Giảm trong năm > 4. Số dư cuối năm,4. Số dư cuối năm,81.652.795,397.684.000,221.891.403.301,222.370.740.096,81652795.0,397684000.0,221891403301.0,222370740096.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,-,-,27.349.267.060,27.349.267.060,,,27349267060.0,27349267060.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,-,-,24.215.286.327,24.215.286.327,,,24215286327.0,24215286327.0
