row_label_raw,row_label_full,Chi tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,668.667.307.413,922.199.487.632,668667307413.0,922199487632.0
- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,573.366.929.047,821.925.595.009,573366929047.0,821925595009.0
- Doanh thu bán đá,- Doanh thu bán đá,- Doanh thu bán đá,24.199.785.000,27.430.830.000,24199785000.0,27430830000.0
- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,68.902.271.366,68.355.972.465,68902271366.0,68355972465.0
"- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ",2.198.322.000,4.487.090.158,2198322000.0,4487090158.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,453.669.429.604,425.595.814.272,453669429604.0,425595814272.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,449.011.520.513,420.885.233.913,449011520513.0,420885233913.0
- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,4.657.909.091,4.210.098.121,4657909091.0,4210098121.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,-,500.482.238,,500482238.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,-,78.145.101,,78145101.0
Cộng,Cộng,Cộng,1.122.336.737.017,1.347.873.447.005,1122336737017.0,1347873447005.0
