row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Vườn cây,Tài sản khác (Dự án BOT),Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Vườn cây,numeric__Tài sản khác (Dự án BOT),numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,513.484.177.464,896.759.995.929,30.207.649.938,99.625.679.179,176.497.581.455,2.426.432.709.413,4.143.007.793.378,513484177464.0,896759995929.0,30207649938.0,99625679179.0,176497581455.0,2426432709413.0,4143007793378.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,2.225.341.910,20.543.693.488,215.875.945,2.944.537.736,-,-,25.929.449.079,2225341910.0,20543693488.0,215875945.0,2944537736.0,,,25929449079.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,-,3.210.312.816,-,181.920.592,-,-,3.392.233.408,,3210312816.0,,181920592.0,,,3392233408.0
- Tăng từ xây dựng cơ bản dở dang,I. Nguyên giá TSCĐ hữu hình > - Tăng từ xây dựng cơ bản dở dang,- Tăng từ xây dựng cơ bản dở dang,1.478.079.630,-,-,-,-,-,1.478.079.630,1478079630.0,,,,,,1478079630.0
- Chênh lệch do chuyển đổi BCTC,I. Nguyên giá TSCĐ hữu hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,747.262.280,17.333.380.672,215.875.945,2.762.617.144,-,-,21.059.136.041,747262280.0,17333380672.0,215875945.0,2762617144.0,,,21059136041.0
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,-,-,-,-,-,-,-,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,-,,,,,,,
4. Số dư cuối năm,"- Thanh lý, nhượng bán > 4. Số dư cuối năm",4. Số dư cuối năm,515.709.519.374,917.303.689.417,30.423.525.883,102.570.216.915,176.497.581.455,2.426.432.709.413,4.168.937.242.457,515709519374.0,917303689417.0,30423525883.0,102570216915.0,176497581455.0,2426432709413.0,4168937242457.0
II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
1 Số dư đầu năm,II Giá trị hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,122.077.033.298,652.845.475.709,27.225.093.918,98.109.805.744,35.765.027.733,624.887.087.130,1.560.909.523.532,122077033298.0,652845475709.0,27225093918.0,98109805744.0,35765027733.0,624887087130.0,1560909523532.0
2. Tăng trong năm,II Giá trị hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,18.727.823.158,42.145.587.897,849.939.127,3.130.202.903,8.897.087.280,141.045.069.151,214.795.709.516,18727823158.0,42145587897.0,849939127.0,3130202903.0,8897087280.0,141045069151.0,214795709516.0
- Khấu hao trong năm,II Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,18.031.023.987,24.939.407.893,637.064.642,403.439.653,8.897.087.280,141.045.069.151,193.953.092.606,18031023987.0,24939407893.0,637064642.0,403439653.0,8897087280.0,141045069151.0,193953092606.0
- Chênh lệch do chuyển đổi BCTC,II Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,696.799.171,17.206.180.004,212.874.485,2.726.763.250,-,-,20.842.616.910,696799171.0,17206180004.0,212874485.0,2726763250.0,,,20842616910.0
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,-,-,-,-,-,-,-,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,-,,,,,,,
4. Số dư cuối năm,"- Thanh lý, nhượng bán > 4. Số dư cuối năm",4. Số dư cuối năm,140.804.856.456,694.991.063.606,28.075.033.045,101.240.008.647,44.662.115.013,765.932.156.281,1.775.705.233.048,140804856456.0,694991063606.0,28075033045.0,101240008647.0,44662115013.0,765932156281.0,1775705233048.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,391.407.144.166,243.914.520.220,2.982.556.020,1.515.873.435,140.732.553.722,1.801.545.622.283,2.582.098.269.846,391407144166.0,243914520220.0,2982556020.0,1515873435.0,140732553722.0,1801545622283.0,2582098269846.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,374.904.662.918,222.312.625.811,2.348.492.838,1.330.208.268,131.835.466.442,1.660.500.553.132,2.393.232.009.409,374904662918.0,222312625811.0,2348492838.0,1330208268.0,131835466442.0,1660500553132.0,2393232009409.0
