row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số đầu năm,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm,numeric__Số đầu năm > Dự phòng
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,12.663.938.863,(12.663.938.863),14.914.559.709,(12.320.552.086),12663938863.0,-12663938863.0,14914559709.0,-12320552086.0
Phải thu về lãi cho vay,Phải thu về lãi cho vay,Phải thu về lãi cho vay,-,-,2.594.007.623,-,,,2594007623.0,
- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,-,-,2.594.007.623,-,,,2594007623.0,
Phải thu khác,Phải thu khác,Phải thu khác,12.663.938.863,(12.663.938.863),12.320.552.086,(12.320.552.086),12663938863.0,-12663938863.0,12320552086.0,-12320552086.0
- Công ty TNHH Điện tử DLG Ansen,- Công ty TNHH Điện tử DLG Ansen,- Công ty TNHH Điện tử DLG Ansen,12.663.938.863,(12.663.938.863),12.320.552.086,(12.320.552.086),12663938863.0,-12663938863.0,12320552086.0,-12320552086.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,654.594.967.187,(557.632.111.992),448.578.120.748,(339.445.255.095),654594967187.0,-557632111992.0,448578120748.0,-339445255095.0
- Phải thu về lãi cho vay,- Phải thu về lãi cho vay,- Phải thu về lãi cho vay,631.888.363.243,(557.632.111.992),423.496.802.312,(339.445.255.095),631888363243.0,-557632111992.0,423496802312.0,-339445255095.0
- Tạm ứng cho nhân viên,- Tạm ứng cho nhân viên,- Tạm ứng cho nhân viên,3.294.591.933,-,3.646.779.031,-,3294591933.0,,3646779031.0,
"- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn",11.229.497.184,-,3.743.211.370,-,11229497184.0,,3743211370.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,"8.182.514.827,00",-,17.691.328.035,,8182514827.0,,17691328035.0,
Cộng,Cộng,Cộng,667.258.906.050,(570.296.050.855),463.492.680.457,(351.765.807.181),667258906050.0,-570296050855.0,463492680457.0,-351765807181.0
