row_label_raw,row_label_full,Chi tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Giá vốn bán hàng,Giá vốn bán hàng,Giá vốn bán hàng,608.943.957.457,826.969.069.843,608943957457.0,826969069843.0
- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,540.181.111.152,756.769.822.340,540181111152.0,756769822340.0
- Giá vốn bán đá,- Giá vốn bán đá,- Giá vốn bán đá,24.003.127.631,27.146.624.412,24003127631.0,27146624412.0
- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,42.764.347.587,38.370.677.288,42764347587.0,38370677288.0
"- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ",1.995.371.087,4.681.945.803,1995371087.0,4681945803.0
Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,232.537.316.059,183.752.441.309,232537316059.0,183752441309.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,228.227.213.945,177.876.250.941,228227213945.0,177876250941.0
- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,4.310.102.114,5.868.690.368,4310102114.0,5868690368.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,-,7.500.000,,7500000.0
Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,58.002.519.336,8.772.275.538,58002519336.0,8772275538.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,-,1.103.096.331,,1103096331.0
Cộng,Cộng,Cộng,899.483.792.852,1.020.596.883.021,899483792852.0,1020596883021.0
