row_label_raw,row_label_full,Số đầu năm,Năm nay > (1.440.203.190.861),Năm trước > (311.820.125.829),numeric__Năm nay > (1.440.203.190.861),numeric__Năm trước > (311.820.125.829)
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,(880.056.554.294),(1.193.548.035.016),-880056554294.0,-1193548035016.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,368.581.494.571,65.286.418.918,368581494571.0,65286418918.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,,(66.149.587),,-66149587.0
Ảnh hưởng chuyển đổi báo cáo,Ảnh hưởng chuyển đổi báo cáo,Ảnh hưởng chuyển đổi báo cáo,(469.693.235),(55.299.347),-469693235.0,-55299347.0
Số cuối năm,Số cuối năm,Số cuối năm,(1.952.147.943.819),(1.440.203.190.861),-1952147943819.0,-1440203190861.0
