row_label_raw,row_label_full,Số dư đầu năm > Phát sinh trong năm > Phân bổ trong năm,Năm nay > 72.638.769.527 > 78.438.271.249 > (35.786.301.001),Năm trước > 104.078.427.070 > 3.838.355.055 > (34.130.212.348),numeric__Năm nay > 72.638.769.527 > 78.438.271.249 > (35.786.301.001),numeric__Năm trước > 104.078.427.070 > 3.838.355.055 > (34.130.212.348)
Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,829.244.227,1.348.995.152,829244227.0,1348995152.0
Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,2.955.993.072,(2.496.795.402),2955993072.0,-2496795402.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,119.075.977.074,72.638.769.527,119075977074.0,72638769527.0
