row_label_raw,row_label_full,Chỉ tiêu > 1. Số dư đầu năm trước > 2. Tăng trong năm trước > - Lãi trong năm,Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,Thặng dư vốn cổ phần > 50.510.908.328 > -,Chênh lệch tỷ giá hối doái > (12.722.144.419) > -,Quỹ Đầu tư phát triển > 6.196.436.959 > -,Lợi nhuận sau thuế chưa phân phối > (850.365.107.591) > -,Lợi ích cổ đông không kiểm soát (*) > 132.117.681.834 > 22.550.192.342 > 22.236.416.222,Cộng > 2.318.834.975.111 > 22.550.192.342 > 22.236.416.222,numeric__Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,numeric__Thặng dư vốn cổ phần > 50.510.908.328 > -,numeric__Chênh lệch tỷ giá hối doái > (12.722.144.419) > -,numeric__Quỹ Đầu tư phát triển > 6.196.436.959 > -,numeric__Lợi nhuận sau thuế chưa phân phối > (850.365.107.591) > -,numeric__Lợi ích cổ đông không kiểm soát (*) > 132.117.681.834 > 22.550.192.342 > 22.236.416.222,numeric__Cộng > 2.318.834.975.111 > 22.550.192.342 > 22.236.416.222
- Tăng do thay đổi tỷ lệ sở hữu,- Tăng do thay đổi tỷ lệ sở hữu,- Tăng do thay đổi tỷ lệ sở hữu,-,-,-,-,-,-,-,,,,,,,
- Tăng từ hợp nhất công ty con,- Tăng từ hợp nhất công ty con,- Tăng từ hợp nhất công ty con,-,,,-,-,-,-,,,,,,,
- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Tăng từ hợp nhất công ty con > - Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,-,-,-,-,,313.776.120,313.776.120,,,,,,313776120.0,313776120.0
3. Giảm trong năm trước,- Tăng từ hợp nhất công ty con > 3. Giảm trong năm trước,3. Giảm trong năm trước,-,-,13.508.961.533,-,(1.219.413.266.472),(26.460.000.000),(1.232.364.304.939),,,13508961533.0,,-1219413266472.0,-26460000000.0,-1232364304939.0
- Lỗ trong năm,- Tăng từ hợp nhất công ty con > - Lỗ trong năm,- Lỗ trong năm,-,-,-,-,(1.219.413.266.472),-,(1.219.413.266.472),,,,,-1219413266472.0,,-1219413266472.0
- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Tăng từ hợp nhất công ty con > - Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,-,-,13.508.961.533,-,,-,13.508.961.533,,,13508961533.0,,,,13508961533.0
- Chia cổ tức,- Tăng từ hợp nhất công ty con > - Chia cổ tức,- Chia cổ tức,-,,,-,,(26.460.000.000),(26.460.000.000),,,,,,-26460000000.0,-26460000000.0
- Giám do thoái vốn Công ty con,- Giám do thoái vốn Công ty con,- Giám do thoái vốn Công ty con,-,,,-,-,-,-,,,,,,,
- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,,,-,-,-,-,,,,,,,
- Giám khác,- Giám khác,- Giám khác,-,-,-,-,-,-,-,,,,,,,
"4. Số dư cuối năm trước, đầu năm nay","- Giám khác > 4. Số dư cuối năm trước, đầu năm nay","4. Số dư cuối năm trước, đầu năm nay",2.993.097.200.000,50.510.908.328,786.817.114,6.196.436.959,(2.069.778.374.063),128.207.874.176,1.109.020.862.514,2993097200000.0,50510908328.0,786817114.0,6196436959.0,-2069778374063.0,128207874176.0,1109020862514.0
5. Tăng trong năm,- Giám khác > 5. Tăng trong năm,5. Tăng trong năm,-,-,5.916.588.490,-,-,15.998.532.072,21.915.120.562,,,5916588490.0,,,15998532072.0,21915120562.0
- Tăng từ kết quả kinh doanh,- Giám khác > - Tăng từ kết quả kinh doanh,- Tăng từ kết quả kinh doanh,-,-,-,-,-,15.861.105.951,15.861.105.951,,,,,,15861105951.0,15861105951.0
- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Giám khác > - Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,-,-,5.916.588.490,-,-,137.426.121,6.054.014.611,,,5916588490.0,,,137426121.0,6054014611.0
- Tăng do thoái vốn công ty con,- Tăng do thoái vốn công ty con,- Tăng do thoái vốn công ty con,,-,-,-,-,-,-,,,,,,,
6. Giảm trong năm,- Tăng do thoái vốn công ty con > 6. Giảm trong năm,6. Giảm trong năm,-,-,-,-,(594.601.137.150),(8.820.000.000),(603.421.137.150),,,,,-594601137150.0,-8820000000.0,-603421137150.0
- Lỗ trong năm,- Tăng do thoái vốn công ty con > - Lỗ trong năm,- Lỗ trong năm,-,-,-,-,(594.601.137.150),-,(594.601.137.150),,,,,-594601137150.0,,-594601137150.0
- Chia cổ tức,- Tăng do thoái vốn công ty con > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(8.820.000.000),(8.820.000.000),,,,,,-8820000000.0,-8820000000.0
7. Số dư cuối năm,- Tăng do thoái vốn công ty con > 7. Số dư cuối năm,7. Số dư cuối năm,2.993.097.200.000,50.510.908.328,6.703.405.604,6.196.436.959,(2.664.379.511.213),135.386.406.248,527.514.845.926,2993097200000.0,50510908328.0,6703405604.0,6196436959.0,-2664379511213.0,135386406248.0,527514845926.0
