row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày đầu năm,Tại ngày đầu năm_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,,,,,,,,
Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Tên công ty > Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,"170 Trường Chinh, Phường Trà Bá, Thành phố Pleiku, Tỉnh Gia Lai","Tư vấn và đầu tư xây dựng các công trình giao thông, hạ tầng đô thị; Khảo sát địa hình, địa chất, thủy văn; Lập dự án khả thi, tiền khả thi, báo cáo đầu tư; Thiết kế kỹ thuật, bản về thi công, tổng dự toán, lập dự toán; Giám sát kỹ thuật thi công, quản lý dự án; Thi công xây lắp các công trình; Tư vấn đầu tư xây dựng các công trình xây dựng khác","20,00%","20,00%","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2,0.2,0.2
