row_label_raw,row_label_full,col_0,EUR được quy đổi VND,USD được quy đổi VND,Giá trị vàng tiền tệ được quy đổi VND,Các loại ngoại tệ khác quy đổi VND,Tổng cộng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Giá trị vàng tiền tệ được quy đổi VND,numeric__Các loại ngoại tệ khác quy đổi VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4.170.325.630,77.317.661.552,7.298.550.000,3.277.751.304,92.064.288.486,4170325630.0,77317661552.0,7298550000.0,3277751304.0,92064288486.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.073.068.913,36.813.216.193,-,-,37.886.285.106,1073068913.0,36813216193.0,,,37886285106.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,14.381.443.242,5.615.891.524.867,-,1.261.429.112.139,6.891.702.080.248,14381443242.0,5615891524867.0,,1261429112139.0,6891702080248.0
Các công cụ tài chính phải sinh,Tài sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,(197.958.452.329),-,(1.112.014.373.587),(1.309.972.825.916),,-197958452329.0,,-1112014373587.0,-1309972825916.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,1.053.525.197.883,-,-,1.053.525.197.883,,1053525197883.0,,,1053525197883.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,293.374.952.555,-,7.456.050,293.382.408.605,,293374952555.0,,7456050.0,293382408605.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,19.624.837.785,6.878.964.100.721,7.298.550.000,152.699.945.906,7.058.587.434.412,19624837785.0,6878964100721.0,7298550000.0,152699945906.0,7058587434412.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,1.580.525.205.772,-,-,1.580.525.205.772,,1580525205772.0,,,1580525205772.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,14.225.236.087,767.998.778.052,-,68.913.845.915,851.137.860.054,14225236087.0,767998778052.0,,68913845915.0,851137860054.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,4.245.237.500.000,-,-,4.245.237.500.000,,4245237500000.0,,,4245237500000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,166.478.019,106.589.149.513,9.734.340,3.270.400.324,110.035.762.196,166478019.0,106589149513.0,9734340.0,3270400324.0,110035762196.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,14.391.714.106,6.700.350.633.337,9.734.340,72.184.246.239,6.786.936.328.022,14391714106.0,6700350633337.0,9734340.0,72184246239.0,6786936328022.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,5.233.123.679,178.613.467.384,7.288.815.660,80.515.699.667,271.651.106.390,5233123679.0,178613467384.0,7288815660.0,80515699667.0,271651106390.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(2.684.350.000),(144.078.909.800),-,(71.532.400.000),(218.295.659.800),-2684350000.0,-144078909800.0,,-71532400000.0,-218295659800.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",2.548.773.679,34.534.557.584,7.288.815.660,8.983.299.667,53.355.446.590,2548773679.0,34534557584.0,7288815660.0,8983299667.0,53355446590.0
