row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,38,166.218.248.044.071,80.901.204.928.532,38.0,166218248044071.0,80901204928532.0
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra - Bảo lãnh vay vốn,38,27.951.235.279,30.720.268.951,38.0,27951235279.0,30720268951.0
- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,,158.389.419.615.570,66.176.116.111.944,,158389419615570.0,66176116111944.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,296.243.446.052,379.375.922.149,,296243446052.0,379375922149.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,296.226.105.852,380.196.244.471,,296226105852.0,380196244471.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,,157.796.950.063.666,65.416.543.945.324,,157796950063666.0,65416543945324.0
- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,,1.285.464.740.750,3.402.915.058.466,,1285464740750.0,3402915058466.0
- Bảo lãnh khác,- Bảo lãnh khác,- Bảo lãnh khác,,6.515.412.452.472,9.424.253.489.171,,6515412452472.0,9424253489171.0
- Các cam kết khác,- Các cam kết khác,- Các cam kết khác,,-,1.867.200.000.000,,,1867200000000.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39,2.687.354.712.757,3.247.291.248.287,39.0,2687354712757.0,3247291248287.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,40,10.211.698.707.052,7.794.649.149.386,40.0,10211698707052.0,7794649149386.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,41,27.283.410.619.395,31.352.810.601.975,41.0,27283410619395.0,31352810601975.0
,,,,206.400.712.083.275,123.295.955.928.180,,206400712083275.0,123295955928180.0
