row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,44.727.891.410.479,4.953.584.718.624,3.470.788.884.108,(30.937.059.530.879),22.215.205.482.332,44727891410479.0,4953584718624.0,3470788884108.0,-30937059530879.0,22215205482332.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,40.210.470.583.381,4.632.383.130.771,3.317.626.685.895,(30.033.739.708.748),18.126.740.691.299,40210470583381.0,4632383130771.0,3317626685895.0,-30033739708748.0,18126740691299.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,12.863.607.420.407,2.894.612.825.670,2.368.520.445.222,-,18.126.740.691.299,12863607420407.0,2894612825670.0,2368520445222.0,,18126740691299.0
Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,27.346.863.162.974,1.737.770.305.101,949.106.240.673,(30.033.739.708.748),-,27346863162974.0,1737770305101.0,949106240673.0,-30033739708748.0,
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,836.108.218.516,123.432.770.999,37.963.062.725,(360.000),997.503.692.240,836108218516.0,123432770999.0,37963062725.0,-360000.0,997503692240.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3.681.312.608.582,197.768.816.854,115.199.135.488,(903.319.462.131),3.090.961.098.793,3681312608582.0,197768816854.0,115199135488.0,-903319462131.0,3090961098793.0
II. Chi phí,II. Chi phí,II. Chi phí,(40.215.561.131.886),(4.264.817.063.719),(2.904.999.997.090),30.936.874.230.845,(16.448.503.961.850),-40215561131886.0,-4264817063719.0,-2904999997090.0,30936874230845.0,-16448503961850.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(35.110.320.823.616),(3.773.075.363.240),(2.511.565.954.317),30.033.739.708.748,(11.361.222.432.425),-35110320823616.0,-3773075363240.0,-2511565954317.0,30033739708748.0,-11361222432425.0
Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(9.075.171.951.771),(1.478.731.980.589),(807.318.500.065),-,(11.361.222.432.425),-9075171951771.0,-1478731980589.0,-807318500065.0,,-11361222432425.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,(26.035.148.871.845),(2.294.343.382.651),(1.704.247.454.252),30.033.739.708.748,-,-26035148871845.0,-2294343382651.0,-1704247454252.0,30033739708748.0,
