row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,15.029.688.541.614,10.809.453.049.274,15029688541614.0,10809453049274.0
- Bằng VND,- Bằng VND,- Bằng VND,14.519.528.222.490,10.212.914.878.032,14519528222490.0,10212914878032.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,510.160.319.124,596.538.171.242,510160319124.0,596538171242.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,42.266.684.275.056,35.139.498.246.162,42266684275056.0,35139498246162.0
- Bằng VND,- Bằng VND,- Bằng VND,42.247.277.475.056,35.099.480.246.162,42247277475056.0,35099480246162.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,19.406.800.000,40.018.000.000,19406800000.0,40018000000.0
Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,13.667.765.026,16.823.609.872,13667765026.0,16823609872.0
- Bằng VND,- Bằng VND,- Bằng VND,3.102.733.344,4.319.632.438,3102733344.0,4319632438.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,10.565.031.682,12.503.977.434,10565031682.0,12503977434.0
Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,68.290.820.992.134,55.692.309.302.306,68290820992134.0,55692309302306.0
- Bằng VND,- Bằng VND,- Bằng VND,68.016.605.515.678,55.326.592.282.261,68016605515678.0,55326592282261.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,274.215.476.456,365.717.020.045,274215476456.0,365717020045.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,36.276.391.885,232.057.556.135,36276391885.0,232057556135.0
- Bằng VND,- Bằng VND,- Bằng VND,62.419.761,929.327.316,62419761.0,929327316.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,36.213.972.124,231.128.228.819,36213972124.0,231128228819.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,308.794.452.844,313.047.546.474,308794452844.0,313047546474.0
- Bằng VND,- Bằng VND,- Bằng VND,308.218.192.176,307.295.370.924,308218192176.0,307295370924.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,576.260.668,5.752.175.550,576260668.0,5752175550.0
,,,125.945.932.418.559,102.203.189.310.223,125945932418559.0,102203189310223.0
