row_label_raw,row_label_full,col_0,Chưa quá hạn vàchưa bị giảm giáVND,Đã quá hạn vàchưa bị giảm giáVND,Đã quá hạn và đãtrích lập dự phòngVND,Tổng cộngVND,numeric__Chưa quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn và đãtrích lập dự phòngVND,numeric__Tổng cộngVND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,33.900.216.479.510,-,-,33.900.216.479.510,33900216479510.0,,,33900216479510.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,32.303.914.945.061,-,-,32.303.914.945.061,32303914945061.0,,,32303914945061.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,1.596.301.534.449,-,-,1.596.301.534.449,1596301534449.0,,,1596301534449.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,136.988.680.588.997,2.411.530.487.752,8.357.155.138.822,147.757.366.215.571,136988680588997.0,2411530487752.0,8357155138822.0,147757366215571.0
Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,40.217.701.645.786,113.696.074.730,-,40.331.397.720.516,40217701645786.0,113696074730.0,,40331397720516.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,8.472.767.490.644,-,4.800.000.000,8.477.567.490.644,8472767490644.0,,4800000000.0,8477567490644.0
Tổng cộng,Tổng cộng,Tổng cộng,219.579.366.204.937,2.525.226.562.482,8.361.955.138.822,230.466.547.906.241,219579366204937.0,2525226562482.0,8361955138822.0,230466547906241.0
