row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Kinh doanh VND,Giá trị ghi sổ > Cho vay và phải thu VND,Giá trị ghi sổ > Sẵn sàng để bán VND,Giá trị ghi sổ > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ VND,Giá trị ghi sổ > Giá trị hợp lý,numeric__Giá trị ghi sổ > Kinh doanh VND,numeric__Giá trị ghi sổ > Cho vay và phải thu VND,numeric__Giá trị ghi sổ > Sẵn sàng để bán VND,numeric__Giá trị ghi sổ > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ VND,numeric__Giá trị ghi sổ > Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,
"Tiền mặt, vàng bạc, đá quý","Các tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,779.733.563.086,779.733.563.086,779.733.563.086,,,,779733563086.0,779733563086.0,779733563086.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,6.965.365.039.785,6.965.365.039.785,6.965.365.039.785,,,,6965365039785.0,6965365039785.0,6965365039785.0
Tiền gửi tại và cho vay các TCTD khác,Các tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,1.596.301.534.449,-,32.303.914.945.061,33.900.216.479.510,(*),,1596301534449.0,,32303914945061.0,33900216479510.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Các tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,-,41.473.565.365,41.473.565.365,(*),,,,41473565365.0,41473565365.0,
Cho vay khách hàng - gộp,Các tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,147.206.466.215.571,-,-,147.206.466.215.571,(*),,147206466215571.0,,,147206466215571.0,
Hoạt động mua nợ - gộp,Các tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,550.900.000.000,-,-,550.900.000.000,(*),,550900000000.0,,,550900000000.0,
Chứng khoán sẵn sàng để bán - gộp,Các tài sản tài chính > Chứng khoán sẵn sàng để bán - gộp,Chứng khoán sẵn sàng để bán - gộp,-,-,40.331.397.720.516,-,40.331.397.720.516,(*),,,40331397720516.0,,40331397720516.0,
Tài sản tài chính khác - gộp,Các tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,8.477.567.490.644,-,-,8.477.567.490.644,(*),,8477567490644.0,,,8477567490644.0,
,,,-,157.831.235.240.664,40.331.397.720.516,40.090.487.113.297,238.253.120.074.477,,,157831235240664.0,40331397720516.0,40090487113297.0,238253120074477.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,
Các khoản nợ Chính phủ và NHNN,Các công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,94.394.453.562,94.394.453.562,(*),,,,94394453562.0,94394453562.0,
"Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Các công nợ tài chính > Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Tiền gửi và vay các tổ chức tài chính, các TCTD khác",-,-,-,31.039.865.195.767,31.039.865.195.767,(*),,,,31039865195767.0,31039865195767.0,
Tiền gửi của khách hàng,Các công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,125.945.932.418.559,125.945.932.418.559,(*),,,,125945932418559.0,125945932418559.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,4.358.195.253.813,4.358.195.253.813,(*),,,,4358195253813.0,4358195253813.0,
Phát hành giấy tờ có giá,Các công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,37.808.325.000.000,37.808.325.000.000,(*),,,,37808325000000.0,37808325000000.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,12.331.858.934.888,12.331.858.934.888,(*),,,,12331858934888.0,12331858934888.0,
,,,-,-,-,211.578.571.256.589,211.578.571.256.589,,,,,211578571256589.0,211578571256589.0,
