row_label_raw,row_label_full,col_0,Quỹ dự trữ bổ sungvốn điều lệVND,Quỹ dự phòngtài chínhVND,Quỹ khACThuộc vốnchủ sở hữuVND,Tổng cộngVND,numeric__Quỹ dự trữ bổ sungvốn điều lệVND,numeric__Quỹ dự phòngtài chínhVND,numeric__Quỹ khACThuộc vốnchủ sở hữuVND,numeric__Tổng cộngVND
Số dư tạingày 1 tháng 1năm 2023,Số dư tạingày 1 tháng 1năm 2023,Số dư tạingày 1 tháng 1năm 2023,879.935.918.284,1.913.094.079.780,374.056.888,2.793.404.054.952,879935918284.0,1913094079780.0,374056888.0,2793404054952.0
Trích lập cácquỹ trong năm,Trích lập cácquỹ trong năm,Trích lập cácquỹ trong năm,165.117.489.847,330.234.979.695,-,495.352.469.542,165117489847.0,330234979695.0,,495352469542.0
Sử dụng cácquỹ trong năm,Sử dụng cácquỹ trong năm,Sử dụng cácquỹ trong năm,(700.000.000.000),-,-,(700.000.000.000),-700000000000.0,,,-700000000000.0
Số dư tạingày 31 tháng12 năm 2023,Số dư tạingày 31 tháng12 năm 2023,Số dư tạingày 31 tháng12 năm 2023,345.053.408.131,2.243.329.059.475,374.056.888,2.588.756.524.494,345053408131.0,2243329059475.0,374056888.0,2588756524494.0
