row_label_raw,row_label_full,col_0,Đầu năm,Đầu năm_1,Phát sinh trong năm,Phát sinh trong năm_1,Cuối năm,Cuối năm_1,numeric__Đầu năm,numeric__Đầu năm_1,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Cuối năm,numeric__Cuối năm_1
,,,Số phải trả VND,Số phải thu VND,Số phải nộp VND,Số đã nộp VND,Số phải trả VND,Số phải thu VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,46.403.908.753,96.584.610,139.102.501.324,(116.980.271.600),68.546.123.446,116.569.579,46403908753.0,96584610.0,139102501324.0,-116980271600.0,68546123446.0,116569579.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,347.196.153.151,467.576.935,836.173.454.643,(865.017.764.120),318.076.067.522,191.800.783,347196153151.0,467576935.0,836173454643.0,-865017764120.0,318076067522.0,191800783.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.018.287.030,3.116.245,107.469.920.069,(105.625.775.450),9.859.315.404,-,8018287030.0,3116245.0,107469920069.0,-105625775450.0,9859315404.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,1.502.535.528,-,11.146.240.068,(11.622.455.099),1.026.320.497,-,1502535528.0,,11146240068.0,-11622455099.0,1026320497.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,-,1.812.806.031,(1.812.806.031),-,-,,,1812806031.0,-1812806031.0,,
Thuế khác,Thuế khác,Thuế khác,-,-,161.000.000,(161.000.000),-,-,,,161000000.0,-161000000.0,,
,,,403.120.884.462,567.277.790,1.175.641.186.923,(1.101.220.072.300),397.507.826.869,308.370.362,403120884462.0,567277790.0,1175641186923.0,-1101220072300.0,397507826869.0,308370362.0
24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,,,,,,
24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,,,,,,
,,,,Vốn điều lệ VND,Thăng dư vốn cổ phần VND,Quỹ của TCTD VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,,,,,,
Số dư tại ngày 1 tháng 1 năm 2023,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,13.698.828.630.000,1.702.686.297.348,2.793.404.054.952,7.077.320.400.532,25.272.239.382.832,,13698828630000.0,1702686297348.0,2793404054952.0,7077320400532.0,25272239382832.0
Tăng vốn,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Tăng vốn,Tăng vốn,Tăng vốn,6.849.414.310.000,(1.649.414.310.000),(700.000.000.000),(4.500.000.000.000),-,,6849414310000.0,-1649414310000.0,-700000000000.0,-4500000000000.0,
Lợi nhuận thuần trong năm,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.303.302.700.616,3.303.302.700.616,,,,,3303302700616.0,3303302700616.0
Trích lập các quỹ,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,495.352.469.542,(495.352.469.542),-,,,,495352469542.0,-495352469542.0,
"Trích lập quỹ khen thưởng, phúc lợi","24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(39.838.612.578),(39.838.612.578),,,,,-39838612578.0,-39838612578.0
Số dư tại ngày 31 tháng 12 năm 2023,24.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,20.548.242.940.000,53.271.987.348,2.588.756.524.494,5.345.432.019.028,28.535.703.470.870,,20548242940000.0,53271987348.0,2588756524494.0,5345432019028.0,28535703470870.0
