row_label_raw,row_label_full,col_0,Hoạt động môi giới bắt động sản,Hoạt động chuyển nhượng bắt động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bắt động sản,numeric__Hoạt động chuyển nhượng bắt động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.040.483.188.723,178.667.910.010,104.333.553.029,1.323.484.651.762,1040483188723.0,178667910010.0,104333553029.0,1323484651762.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,868.155.029.222,74.871.436.559,88.813.590.545,1.031.840.056.326,868155029222.0,74871436559.0,88813590545.0,1031840056326.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,172.328.159.501,103.796.473.451,15.519.962.484,291.644.595.436,172328159501.0,103796473451.0,15519962484.0,291644595436.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,11.651.493.218,,,,11651493218.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.694.915.301.542,2.778.188.844.637,423.527.384.704,5.896.631.530.883,2694915301542.0,2778188844637.0,423527384704.0,5896631530883.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,1.648.225.208.949,,,,1648225208949.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.694.915.301.542,2.778.188.844.637,423.527.384.704,7.544.856.739.832,2694915301542.0,2778188844637.0,423527384704.0,7544856739832.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,352.783.329.345,110.808.055.543,7.661.789.550,118.469.845.093,352783329345.0,110808055543.0,7661789550.0,118469845093.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.479.418.616.156,,,,1479418616156.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,352.783.329.345,110.808.055.543,7.661.789.550,1.597.888.461.249,352783329345.0,110808055543.0,7661789550.0,1597888461249.0
