row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Vay và nợ,Tại ngày 31/12/2025 > Vay và nợ,Vay và nợ,659.799.776.652,174.862.942.424,-,834.662.719.076,659799776652.0,174862942424.0,,834662719076.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2025 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",349.620.505.341,4.645.966.740,-,354.266.472.081,349620505341.0,4645966740.0,,354266472081.0
Chi phí phải trả,Tại ngày 31/12/2025 > Chi phí phải trả,Chi phí phải trả,58.839.334.786,-,-,58.839.334.786,58839334786.0,,,58839334786.0
,,,1.068.259.616.779,179.508.909.164,-,1.247.768.525.943,1068259616779.0,179508909164.0,,1247768525943.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Vay và nợ,Tại ngày 01/01/2025 > Vay và nợ,Vay và nợ,946.016.535.646,511.944.452,-,946.528.480.098,946016535646.0,511944452.0,,946528480098.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2025 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",258.548.205.943,4.288.221.740,-,262.836.427.683,258548205943.0,4288221740.0,,262836427683.0
Chi phí phải trả,Tại ngày 01/01/2025 > Chi phí phải trả,Chi phí phải trả,27.539.776.215,-,-,27.539.776.215,27539776215.0,,,27539776215.0
,,,1.232.104.517.804,4.800.166.192,-,1.236.904.683.996,1232104517804.0,4800166192.0,,1236904683996.0
