row_label_raw,row_label_full,col_0,Dự án Trinity Tower(1),Dự án Dolphin Plaza (2),Dự án Meyhomes Capital Phú Quốc (3),Cộng,numeric__Dự án Trinity Tower(1),numeric__Dự án Dolphin Plaza (2),numeric__Dự án Meyhomes Capital Phú Quốc (3),numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,56.524.081.775,135.127.481.829,-,191.651.563.604,56524081775.0,135127481829.0,,191651563604.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,2.241.669.612,-,8.642.900.806,10.884.570.418,2241669612.0,,8642900806.0,10884570418.0
- Nhuộng bán,Nguyên giá > - Nhuộng bán,- Nhuộng bán,(15.614.393.769),-,-,(15.614.393.769),-15614393769.0,,,-15614393769.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,43.151.357.618,135.127.481.829,8.642.900.806,186.921.740.253,43151357618.0,135127481829.0,8642900806.0,186921740253.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,799.408.519,14.263.456.408,-,15.062.864.927,799408519.0,14263456408.0,,15062864927.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,896.171.907,4.502.381.134,48.261.322,5.446.814.363,896171907.0,4502381134.0,48261322.0,5446814363.0
- Nhuộng bán,Giá trị hao mòn lũy kế > - Nhuộng bán,- Nhuộng bán,(358.436.980),-,-,(358.436.980),-358436980.0,,,-358436980.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.337.143.446,18.765.837.542,48.261.322,20.151.242.310,1337143446.0,18765837542.0,48261322.0,20151242310.0
