row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,2.152.966.363,48.972.289.057,18.199.138.040,185.804.304.021,116479910561.0,2152966363.0,48972289057.0,18199138040.0,185804304021.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,-,656.922.800,656.922.800,,,,656922800.0,656922800.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,-,(50.000.000),-,50.000.000,-,,-50000000.0,,50000000.0,
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.164.612.728),-,(3.164.612.728),,,-3164612728.0,,-3164612728.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,2.102.966.363,45.807.676.329,18.906.060.840,183.296.614.093,116479910561.0,2102966363.0,45807676329.0,18906060840.0,183296614093.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.779.087.206,2.110.445.688,28.463.235.173,17.381.568.076,74.734.336.143,26779087206.0,2110445688.0,28463235173.0,17381568076.0,74734336143.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.334.068.084,97.950.943,4.511.931.067,532.013.190,9.475.963.284,4334068084.0,97950943.0,4511931067.0,532013190.0,9475963284.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,4.550.345,(199.158.947),191.156.800,3.451.802,-,4550345.0,-199158947.0,191156800.0,3451802.0,
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.170.187.295),-,(2.170.187.295),,,-2170187295.0,,-2170187295.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.117.705.635,2.009.237.684,30.996.135.745,17.917.033.068,82.040.112.132,31117705635.0,2009237684.0,30996135745.0,17917033068.0,82040112132.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,89.700.823.355,42.520.675,20.509.053.884,817.569.964,111.069.967.878,89700823355.0,42520675.0,20509053884.0,817569964.0,111069967878.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,85.362.204.926,93.728.679,14.811.540.584,989.027.772,101.256.501.961,85362204926.0,93728679.0,14811540584.0,989027772.0,101256501961.0
