row_label_raw,row_label_full,Tên Công ty (Tiếp theo),Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Cen Bắc Trung Bộ (trước đẩy là Công ty Cổ phần Cen Nghệ An),Công ty Cổ phần Cen Bắc Trung Bộ (trước đẩy là Công ty Cổ phần Cen Nghệ An),Công ty Cổ phần Cen Bắc Trung Bộ (trước đẩy là Công ty Cổ phần Cen Nghệ An),"Số 139 Lê Nin, phường Vinh Phú, tinh Nghệ An","51,02%","51,02%","Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.5102,0.5102,
Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,"STH 44.19, Đường số 4, KĐT Lê Hồng Phong 2, phường Nam Nha Trang, tinh Khánh Hòa",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,"Số HG1-31 (ô đất SH06-10) Lô SH-06 đất kết hợp DVTM (shop house ) khu dịch vụ cao cấp Bến Đoan, phường Hồng Gai, tinh Quảng Ninh",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,"Số 44 Nguyễn Đình Chiều, phường Mũi Né, tinh Lâm Đồng",51%,51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,"SH A1-14-15-16, Tầng 1, Chung cư Garden Tower, KĐT An Phú Thịnh, phường Quy Nhơn Đông, tinh Gia Lai",51%,51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,"Tầng 2, số 137 Nguyễn Ngọc Vũ - phường Yên Hòa, thành phố Hà Nội",75%,75%,"Hoạt động tư vấn đầu tư, tư vấn quản lý; Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.75,0.75,
Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,"Tầng 2, số 137 Nguyễn Ngọc Vũ - phường Yên Hòa, thành phố Hà Nội",100%,100%,"Thương mại điện tử; Dịch vụ du lịch, lưu trú; Môi giới, tư vấn bất động sản; Các nhóm ngành liên quan khác.",,1.0,1.0,
Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,"SH LK2.16 KĐT Việt Hàn, phường Hồng Gai, Quảng Ninh",54%,54%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.54,0.54,
Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,"113 Đường 30/4, phường Phú Lợi, thành phố Hồ Chí Minh.",51%,51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,"Số A3 - 19 đường số 1B, khu dân cư Nam Long, KV2, phường Cái Răng, thành phố Cần Thơ.","45,56%","45,56%","Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.4556,0.4556,
