row_label_raw,row_label_full,col_0,Lãi suất năm,Thời hạn vay,Mục đích vay,Hình thức bảo đảm,31/12/2025 > VND > 223.104.246.623,01/01/2025 > VND > 1.271.997.780,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Hình thức bảo đảm,numeric__31/12/2025 > VND > 223.104.246.623,numeric__01/01/2025 > VND > 1.271.997.780
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),,,,,,
Nhiều hợp đồng,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ) > Nhiều hợp đồng,Nhiều hợp đồng,"7,7%",36 tháng - 2025,Mua ô tô,Tài sản (6),-,436.720.000,0.077,,,,,436720000.0
06/2024/352851/HĐTD ngày 06/08/2024,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ) > 06/2024/352851/HĐTD ngày 06/08/2024,06/2024/352851/HĐTD ngày 06/08/2024,"7,8%",36 tháng - 2027,Mua ô tô,Tài sản (6),511.944.452,835.277.780,0.078,,,,511944452.0,835277780.0
Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ),,,,,,
285768.25.059.566543.TD ngày 18/03/2025,Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ) > 285768.25.059.566543.TD ngày 18/03/2025,285768.25.059.566543.TD ngày 18/03/2025,"9,5%",36 tháng - 2028,Mua 34 căn Villa tại Dự án Hoa Tiên Paradise,Tài sản (7),134.950.000.000,-,0.095,,,,134950000000.0,
302996.25.059.566543.TD ngày 26/06/2025,Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa (tại Công ty mẹ) > 302996.25.059.566543.TD ngày 26/06/2025,302996.25.059.566543.TD ngày 26/06/2025,"7,6%",24 tháng - 2027,Mua 14 căn nhà ở liền kê/biệt thự tại Dự án Khu đô thị Eco Central Park,Tài sản (7),41.600.000.000,-,0.076,,,,41600000000.0,
