row_label_raw,row_label_full,col_0,Công ty Cổ phân Đầu tư Thành Đạt VN,Công tỷ Cổ phân Dịch vụ và Đầu tư Bất động sản Phố Xanh Group,Tổng cộng,numeric__Công ty Cổ phân Đầu tư Thành Đạt VN,numeric__Công tỷ Cổ phân Dịch vụ và Đầu tư Bất động sản Phố Xanh Group,numeric__Tổng cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
- Số dư đầu năm,Nguyên giá > - Số dư đầu năm,- Số dư đầu năm,-,1.522.965.872,1.522.965.872,,1522965872.0,1522965872.0
- Giá trị lợi thế thương mại phát sinh trong năm (xem thêm thuyết minh số 3),Nguyên giá > - Giá trị lợi thế thương mại phát sinh trong năm (xem thêm thuyết minh số 3),- Giá trị lợi thế thương mại phát sinh trong năm (xem thêm thuyết minh số 3),128.721.109.103,-,128.721.109.103,128721109103.0,,128721109103.0
- Số dư cuối năm,Nguyên giá > - Số dư cuối năm,- Số dư cuối năm,128.721.109.103,1.522.965.872,130.244.074.975,128721109103.0,1522965872.0,130244074975.0
Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,,,
- Số dư đầu năm,Số phân bổ lũy kế > - Số dư đầu năm,- Số dư đầu năm,-,1.015.310.582,1.015.310.582,,1015310582.0,1015310582.0
- Số phân bổ trong năm,Số phân bổ lũy kế > - Số phân bổ trong năm,- Số phân bổ trong năm,1.218.027.728,507.655.290,1.725.683.018,1218027728.0,507655290.0,1725683018.0
- Số dư cuối năm,Số phân bổ lũy kế > - Số dư cuối năm,- Số dư cuối năm,1.218.027.728,1.522.965.872,2.740.993.600,1218027728.0,1522965872.0,2740993600.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
- Số dư đầu năm,Giá trị còn lại > - Số dư đầu năm,- Số dư đầu năm,-,507.655.290,507.655.290,,507655290.0,507655290.0
- Số dư cuối năm,Giá trị còn lại > - Số dư cuối năm,- Số dư cuối năm,127.503.081.375,-,127.503.081.375,127503081375.0,,127503081375.0
