row_label_raw,row_label_full,col_0,01/01/2025 > Giá trị,01/01/2025 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giám,31/12/2025 > Giá trị,31/12/2025 > Số có khả năng trả nợ,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giám,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn (*),a) Vay ngắn hạn > - Vay ngắn hạn (*),- Vay ngắn hạn (*),591.708.182.318,591.708.182.318,2.916.373.934.340,2.896.523.644.205,611.558.472.453,611.558.472.453,591708182318.0,591708182318.0,2916373934340.0,2896523644205.0,611558472453.0,611558472453.0
+ Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,a) Vay ngắn hạn > + Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,+ Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,357.092.343.529,357.092.343.529,2.734.397.672.802,2.575.834.093.665,515.655.922.666,515.655.922.666,357092343529.0,357092343529.0,2734397672802.0,2575834093665.0,515655922666.0,515655922666.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty mẹ),332.311.607.573,332.311.607.573,2.609.349.763.537,2.495.884.804.444,445.776.566.666,445.776.566.666,332311607573.0,332311607573.0,2609349763537.0,2495884804444.0,445776566666.0,445776566666.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Academy),a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Academy),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Academy),20.657.012.320,20.657.012.320,104.166.323.490,54.943.979.810,69.879.356.000,69.879.356.000,20657012320.0,20657012320.0,104166323490.0,54943979810.0,69879356000.0,69879356000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Sài Gòn),a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Sài Gòn),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Cen Sài Gòn),408.679.687,408.679.687,-,408.679.687,-,-,408679687.0,408679687.0,,408679687.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty TNHH Quản lý Đối tác Liên kết Cen),a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty TNHH Quản lý Đối tác Liên kết Cen),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (tại Công ty TNHH Quản lý Đối tác Liên kết Cen),3.715.043.949,3.715.043.949,20.881.585.775,24.596.629.724,-,-,3715043949.0,3715043949.0,20881585775.0,24596629724.0,,
+ Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa (tại Công ty mẹ),a) Vay ngắn hạn > + Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa (tại Công ty mẹ),+ Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa (tại Công ty mẹ),135.000.000.000,135.000.000.000,22.984.310.549,135.000.000.000,22.984.310.549,22.984.310.549,135000000000.0,135000000000.0,22984310549.0,135000000000.0,22984310549.0,22984310549.0
+ Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (tại Công ty mẹ),a) Vay ngắn hạn > + Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (tại Công ty mẹ),+ Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (tại Công ty mẹ),99.615.838.789,99.615.838.789,155.390.529.759,185.689.550.540,69.316.818.008,69.316.818.008,99615838789.0,99615838789.0,155390529759.0,185689550540.0,69316818008.0,69316818008.0
