row_label_raw,row_label_full,col_0,01/01/2025 > Giá trịVND,01/01/2025 > Dự phòngVND,Trong năm > TăngVND,Trong năm > GiảmVND,31/12/2025 > Giá trịVND,31/12/2025 > Dự phòngVND,numeric__01/01/2025 > Giá trịVND,numeric__01/01/2025 > Dự phòngVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31/12/2025 > Giá trịVND,numeric__31/12/2025 > Dự phòngVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,,
- Phải thu về cho vay ngắn hạn,a) Ngắn hạn > - Phải thu về cho vay ngắn hạn,- Phải thu về cho vay ngắn hạn,165.405.700.000,-,20.502.818.131,133.376.721.115,52.531.797.016,-,165405700000.0,,20502818131.0,133376721115.0,52531797016.0,
Bên liên quan,a) Ngắn hạn > Bên liên quan,Bên liên quan,90.830.000.000,-,600.000.000,60.430.000.000,31.000.000.000,-,90830000000.0,,600000000.0,60430000000.0,31000000000.0,
+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,a) Ngắn hạn > + Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,56.830.000.000,-,600.000.000,57.430.000.000,-,-,56830000000.0,,600000000.0,57430000000.0,,
+ Công ty Cổ phần Tập đoàn Thế kỳ,a) Ngắn hạn > + Công ty Cổ phần Tập đoàn Thế kỳ,+ Công ty Cổ phần Tập đoàn Thế kỳ,34.000.000.000,-,-,3.000.000.000,31.000.000.000,-,34000000000.0,,,3000000000.0,31000000000.0,
Bên khác,a) Ngắn hạn > Bên khác,Bên khác,74.575.700.000,-,19.902.818.131,72.946.721.115,21.531.797.016,-,74575700000.0,,19902818131.0,72946721115.0,21531797016.0,
+ Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,a) Ngắn hạn > + Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,+ Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,3.760.700.000,-,-,-,3.760.700.000,-,3760700000.0,,,,3760700000.0,
+ Công ty Cổ phần CONSGROUP,a) Ngắn hạn > + Công ty Cổ phần CONSGROUP,+ Công ty Cổ phần CONSGROUP,39.000.000.000,-,-,39.000.000.000,-,-,39000000000.0,,,39000000000.0,,
+ Công ty Cổ phần VMF,a) Ngắn hạn > + Công ty Cổ phần VMF,+ Công ty Cổ phần VMF,14.950.000.000,-,-,11.536.000.000,3.414.000.000,-,14950000000.0,,,11536000000.0,3414000000.0,
+ Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,a) Ngắn hạn > + Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,+ Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,-,-,18.822.818.131,5.545.721.115,13.277.097.016,-,,,18822818131.0,5545721115.0,13277097016.0,
+ Công ty Cổ phần Cen X World,a) Ngắn hạn > + Công ty Cổ phần Cen X World,+ Công ty Cổ phần Cen X World,16.865.000.000,-,1.080.000.000,16.865.000.000,1.080.000.000,-,16865000000.0,,1080000000.0,16865000000.0,1080000000.0,
- Phải thu về cho vay dài hạn đến hạn phải thu,a) Ngắn hạn > - Phải thu về cho vay dài hạn đến hạn phải thu,- Phải thu về cho vay dài hạn đến hạn phải thu,-,-,16.865.000.000,-,16.865.000.000,-,,,16865000000.0,,16865000000.0,
+ Công ty Cổ phần Cen X World,a) Ngắn hạn > + Công ty Cổ phần Cen X World,+ Công ty Cổ phần Cen X World,-,-,16.865.000.000,-,16.865.000.000,-,,,16865000000.0,,16865000000.0,
,,,165.405.700.000,-,37.367.818.131,133.376.721.115,69.396.797.016,-,165405700000.0,,37367818131.0,133376721115.0,69396797016.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,
Bên khác,Bên khác,Bên khác,,,,,,,,,,,,
+ Công ty Cổ phần Cen X World,Bên khác > + Công ty Cổ phần Cen X World,+ Công ty Cổ phần Cen X World,-,-,16.865.000.000,-,16.865.000.000,-,,,16865000000.0,,16865000000.0,
,,,-,-,16.865.000.000,-,16.865.000.000,-,,,16865000000.0,,16865000000.0,
Khoản đến hạn phải thu trong vòng 12 tháng,Bên khác > Khoản đến hạn phải thu trong vòng 12 tháng,Khoản đến hạn phải thu trong vòng 12 tháng,-,-,(16.865.000.000),-,(16.865.000.000),-,,,-16865000000.0,,-16865000000.0,
Khoản đến hạn phải thu sau 12 tháng,Khoản đến hạn phải thu sau 12 tháng,Khoản đến hạn phải thu sau 12 tháng,-,-,-,-,-,-,,,,,,
