row_label_raw,row_label_full,Diễn giải,Giá trị ghi sổ tại thời điểm đạt được quyền kiểm soát,Các điều chỉnh theo giá trị hợp lý (a),Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát,numeric__Giá trị ghi sổ tại thời điểm đạt được quyền kiểm soát,numeric__Các điều chỉnh theo giá trị hợp lý (a),numeric__Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát
,,,VND,VND,VND,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.820.572.775,-,1.820.572.775,1820572775.0,,1820572775.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,59.845.309.644,-,59.845.309.644,59845309644.0,,59845309644.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,583.394.610.000,-,583.394.610.000,583394610000.0,,583394610000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,7.721.183.825,-,7.721.183.825,7721183825.0,,7721183825.0
Tài sản cố định vô hình (thuần),Tài sản > Tài sản cố định vô hình (thuần),Tài sản cố định vô hình (thuần),1.250.000.015,-,1.250.000.015,1250000015.0,,1250000015.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Tài sản > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",219.732.295.741,-,219.732.295.741,219732295741.0,,219732295741.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,873.763.972.000,-,873.763.972.000,873763972000.0,,873763972000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,380.501.272.864,-,380.501.272.864,380501272864.0,,380501272864.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,380.501.272.864,-,380.501.272.864,380501272864.0,,380501272864.0
Tổng giá trị tài sản thuần,Nợ phải trả > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,493.262.699.136,,493.262.699.136,493262699136.0,,493262699136.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,
"Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (58,2%)","Lợi ích của cổ đông không kiểm soát > Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (58,2%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (58,2%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (58,2%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (58,2%)",287.078.890.897,,,287078890897.0
Tổng giá phí của khoản đầu tư này,Lợi ích của cổ đông không kiểm soát > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,415.800.000.000,,,415800000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Giá trị hợp lý của khoản đầu tư 39% vốn chủ sở hữu ban đầu tại ngày đạt được quyền kiểm soát (ngày 19/09/2025) (b),Trong đó: > Giá trị hợp lý của khoản đầu tư 39% vốn chủ sở hữu ban đầu tại ngày đạt được quyền kiểm soát (ngày 19/09/2025) (b),Giá trị hợp lý của khoản đầu tư 39% vốn chủ sở hữu ban đầu tại ngày đạt được quyền kiểm soát (ngày 19/09/2025) (b),Giá trị hợp lý của khoản đầu tư 39% vốn chủ sở hữu ban đầu tại ngày đạt được quyền kiểm soát (ngày 19/09/2025) (b),Giá trị hợp lý của khoản đầu tư 39% vốn chủ sở hữu ban đầu tại ngày đạt được quyền kiểm soát (ngày 19/09/2025) (b),195.000.000.000,,,195000000000.0
"Giá phí đầu tư thêm 19,2% vốn chủ sở hữu","Trong đó: > Giá phí đầu tư thêm 19,2% vốn chủ sở hữu","Giá phí đầu tư thêm 19,2% vốn chủ sở hữu","Giá phí đầu tư thêm 19,2% vốn chủ sở hữu","Giá phí đầu tư thêm 19,2% vốn chủ sở hữu",220.800.000.000,,,220800000000.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (xem thêm tại Thuyết minh số 17),Trong đó: > Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (xem thêm tại Thuyết minh số 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (xem thêm tại Thuyết minh số 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (xem thêm tại Thuyết minh số 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (xem thêm tại Thuyết minh số 17),128.721.109.103,,,128721109103.0
