row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị,31/12/2025 > Dự phòng,01/01/2025 > Giá trị,01/01/2025 > Dự phòng,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Dự phòng
,,,VND,VND,VND,VND,,,,
+ Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn (2),+ Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn (2),+ Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn (2),-,-,7.500.000.000,-,,,7500000000.0,
+ Các đối tượng khác,+ Các đối tượng khác,+ Các đối tượng khác,955.587.220,-,86.251.778.699,(1.000.000.000),955587220.0,,86251778699.0,-1000000000.0
- Hợp tác kinh doanh,- Hợp tác kinh doanh,- Hợp tác kinh doanh,-,-,173.616.800.000,-,,,173616800000.0,
+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ (11),+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ (11),+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ (11),-,-,173.616.800.000,-,,,173616800000.0,
,,,13.810.204.720,-,2.493.771.354.651,(23.550.000.000),13810204720.0,,2493771354651.0,-23550000000.0
c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,c) Trong đó: Phải thu khác là các bên liên quan,,,,
- Ngắn hạn,c) Trong đó: Phải thu khác là các bên liên quan > - Ngắn hạn,- Ngắn hạn,1.529.766.501.160,-,17.971.135.575,-,1529766501160.0,,17971135575.0,
+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,c) Trong đó: Phải thu khác là các bên liên quan > + Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,1.409.661.810.748,-,15.705.020.507,-,1409661810748.0,,15705020507.0,
+ Công ty Cổ phần Tập đoàn Thế Kỳ,c) Trong đó: Phải thu khác là các bên liên quan > + Công ty Cổ phần Tập đoàn Thế Kỳ,+ Công ty Cổ phần Tập đoàn Thế Kỳ,120.104.690.412,-,2.266.115.068,-,120104690412.0,,2266115068.0,
+ Công ty Cổ phần CNV Sài Gòn,c) Trong đó: Phải thu khác là các bên liên quan > + Công ty Cổ phần CNV Sài Gòn,+ Công ty Cổ phần CNV Sài Gòn,5.640.000.000,(5.640.000.000),-,-,5640000000.0,-5640000000.0,,
- Dài hạn,c) Trong đó: Phải thu khác là các bên liên quan > - Dài hạn,- Dài hạn,12.854.617.500,-,1.248.996.305.010,-,12854617500.0,,1248996305010.0,
+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,c) Trong đó: Phải thu khác là các bên liên quan > + Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,+ Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,12.854.617.500,-,1.243.356.305.010,-,12854617500.0,,1243356305010.0,
+ Công ty Cổ phần CNV Sài Gòn,c) Trong đó: Phải thu khác là các bên liên quan > + Công ty Cổ phần CNV Sài Gòn,+ Công ty Cổ phần CNV Sài Gòn,-,-,5.640.000.000,-,,,5640000000.0,
,,,1.548.261.118.660,(5.640.000.000),1.266.967.440.585,-,1548261118660.0,-5640000000.0,1266967440585.0,
