row_label_raw,row_label_full,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/loại tiền,Mục đích vay,Lãi suất/năm,Thời hạn vay,Hình thức bảo đảm,31/12/2025,01/01/2025,numeric__Mục đích vay,numeric__Lãi suất/năm,numeric__Thời hạn vay,numeric__Hình thức bảo đảm,numeric__31/12/2025,numeric__01/01/2025
,,,,,,,VND,VND,,,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,52.531.797.016,165.405.700.000,,,,,52531797016.0,165405700000.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,31.000.000.000,90.830.000.000,,,,,31000000000.0,90830000000.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ,,,,,,
Hợp đồng vay số 30/09/2021/HDVV vay bằng VND,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ > Hợp đồng vay số 30/09/2021/HDVV vay bằng VND,Hợp đồng vay số 30/09/2021/HDVV vay bằng VND,Bổ sung vốn cho hoạt động kinh doanh,10%,12 tháng,Tín chấp,-,40.830.000.000,,0.1,,,,40830000000.0
Hợp đồng vay số 0110/2023/HĐVV/CAD- ĐTBĐSTK vay bằng VND,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỹ > Hợp đồng vay số 0110/2023/HĐVV/CAD- ĐTBĐSTK vay bằng VND,Hợp đồng vay số 0110/2023/HĐVV/CAD- ĐTBĐSTK vay bằng VND,"Đầu tư, kinh doanh","5% - 8,5%",12 tháng,Tín chấp,-,16.000.000.000,,,,,,16000000000.0
Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,Công ty Cổ phần Tập đoàn Thế Kỹ,,,,,,
Hợp đồng vay số 012023/HDVV/ CHs-TĐ ngày 01/12/2023 vay bằng VND,Công ty Cổ phần Tập đoàn Thế Kỹ > Hợp đồng vay số 012023/HDVV/ CHs-TĐ ngày 01/12/2023 vay bằng VND,Hợp đồng vay số 012023/HDVV/ CHs-TĐ ngày 01/12/2023 vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh","4,5%",6 tháng,Tín chấp,21.500.000.000,21.500.000.000,,0.045,,,21500000000.0,21500000000.0
Hợp đồng vay số 2310/2023/HĐVV/ ACA-TĐ vay bằng VND,Công ty Cổ phần Tập đoàn Thế Kỹ > Hợp đồng vay số 2310/2023/HĐVV/ ACA-TĐ vay bằng VND,Hợp đồng vay số 2310/2023/HĐVV/ ACA-TĐ vay bằng VND,"Đầu tư, kinh doanh","5,5%-6,5%",12 tháng,Tín chấp,9.500.000.000,12.500.000.000,,,,,9500000000.0,12500000000.0
Bên khác,Công ty Cổ phần Tập đoàn Thế Kỹ > Bên khác,Bên khác,,,,,21.531.797.016,74.575.700.000,,,,,21531797016.0,74575700000.0
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,,,,,,
Hợp đồng số 1012/2020/HĐV/ CEN-DAINAMSON vay bằng VND,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn > Hợp đồng số 1012/2020/HĐV/ CEN-DAINAMSON vay bằng VND,Hợp đồng số 1012/2020/HĐV/ CEN-DAINAMSON vay bằng VND,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",20%,20 tháng,Tín chấp,3.760.700.000,3.760.700.000,,0.2,,,3760700000.0,3760700000.0
Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,,,,,,
Hợp đồng số 001/2022/HĐVV/ CRE-COG và PL ngày 10/10/2023 vay bằng VND,Công ty Cổ phần CONSGROUP > Hợp đồng số 001/2022/HĐVV/ CRE-COG và PL ngày 10/10/2023 vay bằng VND,Hợp đồng số 001/2022/HĐVV/ CRE-COG và PL ngày 10/10/2023 vay bằng VND,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2,11% (từ 01/03/2024 là 7%),24 tháng kể từ 10/10/2023,Tín chấp,-,39.000.000.000,,,,,,39000000000.0
Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,,,,,,
Thỏa thuận bù trừ bằng VND,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào > Thỏa thuận bù trừ bằng VND,Thỏa thuận bù trừ bằng VND,Chuyển nhượng dự án Eco Central Park,0%,31/12/2028 hoặc khi chuyển nhượng dự án,Tín chấp,13.277.097.016,-,,0.0,,,13277097016.0,
