row_label_raw,row_label_full,col_0,Chức danh,Năm 2025,Năm 2024,numeric__Chức danh,numeric__Năm 2025,numeric__Năm 2024
,,,Chức danh,VND,VND,,,
Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,,,
Ông Nguyễn Trung Vũ,Thu nhập của người quản lý chủ chốt > Ông Nguyễn Trung Vũ,Ông Nguyễn Trung Vũ,Chủ tịch,371.291.667,256.000.000,,371291667.0,256000000.0
Ông Phạm Thanh Hưng,Thu nhập của người quản lý chủ chốt > Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Phó Chủ tịch,382.755.674,206.000.000,,382755674.0,206000000.0
Bà Nguyễn Minh Hồi,Thu nhập của người quản lý chủ chốt > Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,"Phó Chủ tịch HĐQT, Phó Tổng Giám đốc",3.444.183.851,2.782.376.173,,3444183851.0,2782376173.0
Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,"Thành viên HĐQT độc lập, Chủ tịch Ủy ban kiểm toán",-,-,,,
Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,"Thành viên HĐQT độc lập, Thành viên Ủy ban kiểm toán",-,-,,,
Ông Phạm Đức Hùng,Bà Nguyễn Thị Hoàng Oanh > Ông Phạm Đức Hùng,Ông Phạm Đức Hùng,Tổng Giám đốc,1.824.292.791,1.636.151.663,,1824292791.0,1636151663.0
Bà Vũ Thị Xuân Giang,Bà Nguyễn Thị Hoàng Oanh > Bà Vũ Thị Xuân Giang,Bà Vũ Thị Xuân Giang,Phó Tổng Giám đốc,335.036.785,224.479.167,,335036785.0,224479167.0
Ông Mai Hữu Đạt,Ông Mai Hữu Đạt,Ông Mai Hữu Đạt,Thành viên HĐQT (Bổ nhiệm ngày 28 tháng 04 năm 2025),-,-,,,
