row_label_raw,row_label_full,Tên bên vay/Hợp đồng cho vay/loại tiền (tiếp theo),Mục đích vay,Lãi suất/năm,Thời hạn vay,Hình thức bảo đảm,31/12/2025,01/01/2025,numeric__Mục đích vay,numeric__Lãi suất/năm,numeric__Thời hạn vay,numeric__Hình thức bảo đảm,numeric__31/12/2025,numeric__01/01/2025
,,,,,,,VND,VND,,,,,,
Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,,,,,,
Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,Công ty Cổ phần VMF > Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh","4,5%",6 tháng,Tín chấp,3.414.000.000,14.950.000.000,,0.045,,,3414000000.0,14950000000.0
Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Công ty Cổ phần VMF > Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Bổ sung vốn cho hoạt động kinh doanh,"4,9%",12 tháng,Tín chấp,1.080.000.000,16.865.000.000,,0.049,,,1080000000.0,16865000000.0
b) Dài hạn,Công ty Cổ phần VMF > b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,16.865.000.000,-,,,,,16865000000.0,
Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,Công ty Cổ phần Cen X World,,,,,,
Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Công ty Cổ phần Cen X World > Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Hợp đồng số 01/HDVV/ACADEMY-XWORLD ngày 23/10/2024,Bổ sung vốn cho hoạt động kinh doanh,"4,9%",24 tháng,Tín chấp,16.865.000.000,-,,0.049,,,16865000000.0,
,,,,,,,69.396.797.016,165.405.700.000,,,,,69396797016.0,165405700000.0
