row_label_raw,row_label_full,col_0,Năm 2017(VND),Từ 15/01/2016đến 31/12/2016(VND),numeric__Năm 2017(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND)
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",10.913.360.004,7.755.644.734,10913360004.0,7755644734.0
Tiền cổ tức và lợi nhuận được chia,Tiền cổ tức và lợi nhuận được chia,Tiền cổ tức và lợi nhuận được chia,21.630.000.000,7.210.000.000,21630000000.0,7210000000.0
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,39.387.836.764,28.845.999.697,39387836764.0,28845999697.0
Cộng,Cộng,Cộng,71.931.196.768,43.811.644.431,71931196768.0,43811644431.0
