row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,TSCĐVH Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__TSCĐVH Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,29.231.797.815,2.814.625.579,227.726.364,32.274.149.758,29231797815.0,2814625579.0,227726364.0,32274149758.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,670.000.000,-,670.000.000,,670000000.0,,670000000.0
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,-,-,-,,,,
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,29.231.797.815,3.484.625.579,227.726.364,32.944.149.758,29231797815.0,3484625579.0,227726364.0,32944149758.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,1.710.627.517,1.309.891.262,141.472.902,3.161.991.681,1710627517.0,1309891262.0,141472902.0,3161991681.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,972.669.980,718.806.734,26.235.721,1.717.712.435,972669980.0,718806734.0,26235721.0,1717712435.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,2.683.297.497,2.028.697.996,167.708.623,4.879.704.116,2683297497.0,2028697996.0,167708623.0,4879704116.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,27.521.170.298,1.504.734.317,86.253.462,29.112.158.077,27521170298.0,1504734317.0,86253462.0,29112158077.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,26.548.500.318,1.455.927.583,60.017.741,28.064.445.642,26548500318.0,1455927583.0,60017741.0,28064445642.0
"Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:","GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đаем bảo khoản vay:",246.900.000,,,,246900000.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,287.424.400,,,,287424400.0
