row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,"Thiết bị, dụngcụ quản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị, dụngcụ quản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.134.469.900.093,23.281.499.212.797,332.904.855.694,51.205.925.714,272.699.773.680,33.072.779.667.978,9134469900093.0,23281499212797.0,332904855694.0,51205925714.0,272699773680.0,33072779667978.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,19.328.152.556,4.754.512.857,357.985.455,140.000.000,24.580.650.868,,19328152556.0,4754512857.0,357985455.0,140000000.0,24580650868.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,55.410.782.818,1.319.929.054,662.717.375,53.254.545,-,57.446.683.792,55410782818.0,1319929054.0,662717375.0,53254545.0,,57446683792.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,-,-,73.830.161,73.830.161,,,,,73830161.0,73830161.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.717.835.319),-,-,-,(2.717.835.319),,-2717835319.0,,,,-2717835319.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,-,(436.321.973),-,-,-,(436.321.973),,-436321973.0,,,,-436321973.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.189.880.682.911,23.298.993.137.115,338.322.085.926,51.617.165.714,272.913.603.841,33.151.726.675.507,9189880682911.0,23298993137115.0,338322085926.0,51617165714.0,272913603841.0,33151726675507.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,1.565.985.374.298,9.399.565.096.950,205.515.417.947,41.074.439.644,139.690.715.300,11.351.831.044.139,1565985374298.0,9399565096950.0,205515417947.0,41074439644.0,139690715300.0,11351831044139.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,433.063.108.012,1.470.111.910.599,34.179.623.074,8.325.066.579,32.149.741.438,1.977.829.449.702,433063108012.0,1470111910599.0,34179623074.0,8325066579.0,32149741438.0,1977829449702.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,880.724.846,-,-,-,988.464.264,1.869.189.110,880724846.0,,,,988464264.0,1869189110.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.267.342.742),-,-,-,(1.267.342.742),,-1267342742.0,,,,-1267342742.0
- Giảm khác,GIÁ TRỊ HAO MÒN > - Giảm khác,- Giảm khác,-,(396.680.172),(533.345.645),-,-,(930.025.817),,-396680172.0,-533345645.0,,,-930025817.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN > Số dư cuối năm,Số dư cuối năm,1.999.929.207.156,10.868.012.984.635,239.161.695.376,49.399.506.223,172.828.921.002,13.329.332.314.392,1999929207156.0,10868012984635.0,239161695376.0,49399506223.0,172828921002.0,13329332314392.0
