row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,Thuyết minh,31/12/2017,01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,2.714.421.477.382,2.437.298.720.880,100.0,,2714421477382.0,2437298720880.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,,103.747.498.151,350.352.719.847,110.0,,103747498151.0,350352719847.0
Tiền,Tiền,Tiền,111,5.1,53.747.498.151,64.352.719.847,111.0,51.0,53747498151.0,64352719847.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,50.000.000.000,286.000.000.000,112.0,,50000000000.0,286000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.385.940.817.683,1.898.876.234.387,130.0,,2385940817683.0,1898876234387.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.3,2.277.995.125.129,1.832.575.830.816,131.0,53.0,2277995125129.0,1832575830816.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,87.144.290.497,17.549.288.486,132.0,,87144290497.0,17549288486.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.4,26.105.436.708,53.980.161.995,136.0,54.0,26105436708.0,53980161995.0
Dự phòng các khoản phải thu ngắn hạn khó đòi (*),Dự phòng các khoản phải thu ngắn hạn khó đòi (*),Dự phòng các khoản phải thu ngắn hạn khó đòi (*),137,5.5,(5.538.720.651),(5.229.046.910),137.0,55.0,-5538720651.0,-5229046910.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,234.686.000,-,139.0,,234686000.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,122.640.280.310,115.105.356.004,140.0,56.0,122640280310.0,115105356004.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,122.962.104.258,115.427.528.420,141.0,,122962104258.0,115427528420.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,(321.823.948),(322.172.416),149.0,,-321823948.0,-322172416.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,102.092.881.238,72.964.410.642,150.0,,102092881238.0,72964410642.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,2.719.501.260,5.586.368.092,151.0,510.0,2719501260.0,5586368092.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,82.167.464.833,52.899.495.056,152.0,,82167464833.0,52899495056.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,5.13,17.205.915.145,14.478.547.494,153.0,513.0,17205915145.0,14478547494.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,22.356.084.336.344,24.217.128.695.044,200.0,,22356084336344.0,24217128695044.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,7.654.741.378,7.654.741.378,210.0,,7654741378.0,7654741378.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.4,7.654.741.378,7.654.741.378,216.0,54.0,7654741378.0,7654741378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,19.850.458.806.757,21.750.060.781.916,220.0,,19850458806757.0,21750060781916.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,221,5.8,19.822.394.361.115,21.720.948.623.839,221.0,58.0,19822394361115.0,21720948623839.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,33.151.726.675.507,33.072.779.667.978,222.0,,33151726675507.0,33072779667978.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(13.329.332.314.392),(11.351.831.044.139),223.0,,-13329332314392.0,-11351831044139.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,227,5.9,28.064.445.642,29.112.158.077,227.0,59.0,28064445642.0,29112158077.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,32.944.149.758,32.274.149.758,228.0,,32944149758.0,32274149758.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(4.879.704.116),(3.161.991.681),229.0,,-4879704116.0,-3161991681.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.7,83.973.363.731,118.100.951.732,240.0,57.0,83973363731.0,118100951732.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,1.055.479.022,30.975.440.633,241.0,,1055479022.0,30975440633.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,82.917.884.709,87.125.511.099,242.0,,82917884709.0,87125511099.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,1.010.113.524.479,797.472.925.996,250.0,52.0,1010113524479.0,797472925996.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.096.124.960.279,985.091.726.279,253.0,,1096124960279.0,985091726279.0
Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),254,,(86.011.435.800),(187.618.800.283),254.0,,-86011435800.0,-187618800283.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,1.403.883.899.999,1.543.839.294.022,260.0,,1403883899999.0,1543839294022.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.10,1.213.800.961.781,1.342.150.083.112,261.0,510.0,1213800961781.0,1342150083112.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,190.082.938.218,201.689.210.910,263.0,,190082938218.0,201689210910.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,25.070.505.813.726,26.654.427.415.924,270.0,,25070505813726.0,26654427415924.0
