row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bản trong kỳ > Nội dung,Giá trị bản trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bản trong kỳ > Nội dung,numeric__Giá trị bản trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
16,16,16,"Công ty Cổ phần Tin Học, Công Nghệ, Môi trường - Vinacomin",Dịch vụ,1.336.670.216,,-,,,1336670216.0,,
17,17,17,Công ty tuyển than Cửa Ông - TKV,Dịch vụ,40.612.500,,-,,,40612500.0,,
18,18,18,Tạp chí than - khoáng sản Việt Nam,Dịch vụ,80.000.000,,-,,,80000000.0,,
19,19,19,Công ty cổ phần chế tạo máy-Vinacomin,"Vật tư, Hàng hóa",11.422.085,,-,,,11422085.0,,
22,22,22,CN Công ty CP công nghiệp ô tô Vinacomin tại Hà Nội,Dịch vụ,84.091.226,,-,,,84091226.0,,
23,23,23,Công ty Công nghiệp hóa chất mỏ Trung Trung Bộ,"Vật tư, Hàng hóa",5.865.058.860,,-,,,5865058860.0,,
24,24,24,Công ty CP Vận tải và đưa đón thợ mỏ - Vinacomin,Dịch vụ,229.840.000,,-,,,229840000.0,,
25,25,25,Trường cao đẳng nghề than - khoáng sản Việt Nam,Dịch vụ,339.781.548,,-,,,339781548.0,,
26,26,26,Công ty CP thiết bị điện Cẩm Phả,"Vật tư, Hàng hóa",123.462.413,,-,,,123462413.0,,
27,27,27,Công ty CP Xuất nhập khẩu than - Vinacomin,"Vật tư, Hàng hóa",269.920.000,,-,,,269920000.0,,
28,28,28,Công ty CP Du lịch và TM Vinacomin - Chi nhánh Vân Long,Dịch vụ,2.224.484.545,,-,,,2224484545.0,,
29,29,29,Viện khoa học công nghệ mỏ - Vinacomin,Dịch vụ,774.353.686,,-,,,774353686.0,,
30,30,30,Công ty CP Phát triển Công nghệ và Thiết bị mỏ,"Vật tư, Hàng hóa",646.703.692,,-,,,646703692.0,,
31,31,31,Công ty Cổ phần Khách sạn Thái Nguyên,Dịch vụ,549.312.001,,-,,,549312001.0,,
32,32,32,Công Ty CP Địa Chất và khoáng Sản-Vinacomin,"Vật tư, Hàng hóa",227.006.177,,-,,,227006177.0,,
