row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 341
A,A,A,B,1,2,3,4,5,,1.0,2.0,3.0,4.0,5.0
4,4,4,Công ty CP Vật tư - TKV,-,-,16.349.861.509,-,-,,,,16349861509.0,,
5,5,5,Công ty CP Vận tải và đưa đón thợ mỏ - Vinacomin,-,-,19.448.000,-,-,,,,19448000.0,,
6,6,6,Công ty TNHH 1TV Môi trường - TKV,-,-,4.730.339.868,-,-,,,,4730339868.0,,
7,7,7,Công ty CP Sản xuất và Kinh doanh vật tư thiết bị - VVMI,-,-,4.153.765,-,-,,,,4153765.0,,
8,8,8,Viện Khoa học Công nghệ mỏ - Vinacomin,-,-,623.300.958,-,-,,,,623300958.0,,
9,9,9,Công ty CP Chế tạo máy - Vinacomin,-,-,628.215,-,-,,,,628215.0,,
10,10,10,Công ty Công nghiệp hoá chất mỏ Quảng Ninh,-,-,293.663.700,-,-,,,,293663700.0,,
11,11,11,Công ty CP Cơ khí Mạo Khê - Vinacomin,-,-,141.611.035,-,-,,,,141611035.0,,
12,12,12,Tạp chí Than - Khoáng sản Việt Nam,-,-,11.000.000,-,-,,,,11000000.0,,
13,13,13,Công ty kho vận đá bạc - Vinacomin,5.094.835.326,-,-,-,-,,5094835326.0,,,,
14,14,14,Chi nhánh Công ty CP công nghiệp ô tô vinacomin tại Hà Nội,-,-,92.500.349,-,-,,,,92500349.0,,
15,15,15,Trung tâm y tế than khu vực Mạo Khê,-,-,93.721.000,-,,,,,93721000.0,,
16,16,16,Công ty than Na Dương - VVMI,-,-,208.668.689,-,-,,,,208668689.0,,
17,17,17,Công ty CP Địa chất Việt Bắc - TKV,-,-,43.758.649,-,-,,,,43758649.0,,
18,18,18,Trường Cao đẳng Than - Khoáng sản Việt Nam,-,-,60.878.000,-,-,,,,60878000.0,,
19,19,19,Công ty CP VLXD và kinh doanh tổng hợp-VVMI,-,-,1.188.812.625,-,-,,,,1188812625.0,,
