row_label_raw,row_label_full,col_0,col_1,Năm 2017(VND),Từ 15/01/2016 đến31/12/2016(VND),numeric__col_1,numeric__Năm 2017(VND),numeric__Từ 15/01/2016 đến31/12/2016(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,215.044.985.803,203.511.574.146,,215044985803.0,203511574146.0
a.,a.,a.,Chi phí nhân viên quản lý,107.140.284.897,96.918.067.422,,107140284897.0,96918067422.0
a.,a.,a.,Chi phí khấu hao,18.900.320.033,16.813.041.253,,18900320033.0,16813041253.0
a.,a.,a.,Dịch vụ mua ngoài,9.517.130.421,13.580.719.584,,9517130421.0,13580719584.0
a.,a.,a.,Các khoản khác,79.487.250.452,76.199.745.887,,79487250452.0,76199745887.0
b.,b.,b.,Chi phí bán hàng,2.348.151.589,2.015.565.664,,2348151589.0,2015565664.0
b.,b.,b.,Chi phí nhân viên,466.472.087,347.768.895,,466472087.0,347768895.0
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",876.029.011,632.304.967,,876029011.0,632304967.0
b.,b.,b.,Các khoản khác,1.005.650.491,1.035.491.802,,1005650491.0,1035491802.0
b.,b.,b.,Cộng,217.393.137.392,205.527.139.810,,217393137392.0,205527139810.0
