row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Năm 2017,Từ 15/01/2016 đến 31/12/2016,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017,numeric__Từ 15/01/2016 đến 31/12/2016
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,682.515.915.748,538.758.108.895,1.0,,682515915748.0,538758108895.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,,1.977.359.452.046,1.926.263.683.022,2.0,,1977359452046.0,1926263683022.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,(101.298.039.210),192.678.987.651,3.0,,-101298039210.0,192678987651.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(24.468.778.893),198.024.246.949,4.0,,-24468778893.0,198024246949.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(32.978.697.020),(14.965.877.064),5.0,,-32978697020.0,-14965877064.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,837.653.420.264,846.531.743.267,6.0,,837653420264.0,846531743267.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,-,-,7.0,,,
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,3.338.783.272.935,3.687.290.892.720,8.0,,3338783272935.0,3687290892720.0
