row_label_raw,row_label_full,col_0,31/12/2017(VND) > Giá trị,31/12/2017(VND) > Số có khả năng trả nợ,01/01/2017(VND) > Giá trị,01/01/2017(VND) > Số có khả năng trả nợ,numeric__31/12/2017(VND) > Giá trị,numeric__31/12/2017(VND) > Số có khả năng trả nợ,numeric__01/01/2017(VND) > Giá trị,numeric__01/01/2017(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,1.891.589.783.679,1.891.889.783.679,1.648.288.783.056,1.648.288.783.056,1891589783679.0,1891889783679.0,1648288783056.0,1648288783056.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,859.523.260.648,859.523.260.648,463.981.497.686,463.981.497.686,859523260648.0,859523260648.0,463981497686.0,463981497686.0
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,158.292.884.066,158.292.884.066,152.534.868.663,152.534.868.663,158292884066.0,158292884066.0,152534868663.0,152534868663.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,-,-,84.759.333.730,84.759.333.730,,,84759333730.0,84759333730.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,474.029.213.190,474.029.213.190,524.772.038.806,524.772.038.806,474029213190.0,474029213190.0,524772038806.0,524772038806.0
Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,2.221.130.610,2.221.130.610,28.570.420.048,28.570.420.048,2221130610.0,2221130610.0,28570420048.0,28570420048.0
Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),139.744.446.281,139.744.446.281,140.082.512.898,140.082.512.898,139744446281.0,139744446281.0,140082512898.0,140082512898.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.301.532.012,10.301.532.012,10.467.633.422,10.467.633.422,10301532012.0,10301532012.0,10467633422.0,10467633422.0
CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,12.825.466.848,12.825.466.848,29.903.812.372,29.903.812.372,12825466848.0,12825466848.0,29903812372.0,29903812372.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,234.651.850.024,234.951.850.024,213.216.665.431,213.216.665.431,234651850024.0,234951850024.0,213216665431.0,213216665431.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,625.431.237.752,625.431.237.752,626.944.266.919,626.944.266.919,625431237752.0,625431237752.0,626944266919.0,626944266919.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,391.033.382.523,391.033.382.523,391.979.361.677,391.979.361.677,391033382523.0,391033382523.0,391979361677.0,391979361677.0
Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,234.397.855.229,234.397.855.229,234.964.905.242,234.964.905.242,234397855229.0,234397855229.0,234964905242.0,234964905242.0
Cộng,Cộng,Cộng,2.517.021.021.431,2.517.321.021.431,2.275.233.049.975,2.275.233.049.975,2517021021431.0,2517321021431.0,2275233049975.0,2275233049975.0
