row_label_raw,row_label_full,Mệnh giá,01/01/2017(VND) > Giá trị > 1.005.699.200.000,"01/01/2017(VND) > Lãi suất năm > 9,4%",01/01/2017(VND) > Kỳ hạn > 5 năm,31/12/2017(VND) > Giá trị > 1.006.774.400.000,"31/12/2017(VND) > Lãi suất năm > 9,5%",31/12/2017(VND) > Kỳ hạn > 5 năm,numeric__01/01/2017(VND) > Giá trị > 1.005.699.200.000,"numeric__01/01/2017(VND) > Lãi suất năm > 9,4%",numeric__01/01/2017(VND) > Kỳ hạn > 5 năm,numeric__31/12/2017(VND) > Giá trị > 1.006.774.400.000,"numeric__31/12/2017(VND) > Lãi suất năm > 9,5%",numeric__31/12/2017(VND) > Kỳ hạn > 5 năm
Chiết khấu,Chiết khấu,Chiết khấu,-,-,-,-,-,-,,,,,,
Phụ trội,Phụ trội,Phụ trội,-,-,-,-,-,-,,,,,,
Cộng,Phụ trội > Cộng,Cộng,1.005.699.200.000,,,1.006.774.400.000,,,1005699200000.0,,,1006774400000.0,,
