row_label_raw,row_label_full,col_0,col_1,31/12/2017(VND),01/01/2017(VND),numeric__col_1,numeric__31/12/2017(VND),numeric__01/01/2017(VND)
a.,a.,a.,Ngắn hạn,2.719.501.260,5.586.368.092,,2719501260.0,5586368092.0
a.,a.,a.,"Công cụ, dụng cụ xuất dùng",2.169.516.600,4.909.031.547,,2169516600.0,4909031547.0
a.,a.,a.,Chi phí bảo hiểm,468.700.187,456.298.085,,468700187.0,456298085.0
a.,a.,a.,Chi phí trả trước ngắn hạn khác,81.284.473,221.038.460,,81284473.0,221038460.0
b.,b.,b.,Dài hạn,1.213.800.961.781,1.342.150.083.112,,1213800961781.0,1342150083112.0
b.,b.,b.,Tiền thuê nhà trả trước nhiều năm,-,3.594.516.480,,,3594516480.0
b.,b.,b.,Chi phí bảo hiểm,5.595.585.884,5.893.490.441,,5595585884.0,5893490441.0
b.,b.,b.,Công cụ dụng cụ phân bổ nhiều năm,12.889.468.612,1.561.023.195,,12889468612.0,1561023195.0
b.,b.,b.,Chi phí sửa chữa lớn chờ phân bổ,156.025.338.755,142.123.053.339,,156025338755.0,142123053339.0
b.,b.,b.,Chi phí đào tạo vận hành,-,910.711.270,,,910711270.0
b.,b.,b.,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,32.765.746.484,32.185.394.733,,32765746484.0,32185394733.0
b.,b.,b.,Lỗ chênh lệch tỷ giá phân bổ không quá 5 năm,1.004.796.249.883,1.155.085.021.236,,1004796249883.0,1155085021236.0
b.,b.,b.,Chi phí trả trước dài hạn khác,1.728.572.163,796.872.418,,1728572163.0,796872418.0
b.,b.,b.,Cộng,1.216.520.463.041,1.347.736.451.204,,1216520463041.0,1347736451204.0
