row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,LICĐ không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__LICĐ không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.436.967.325.797,18.746.488,313.922.583.745,18.017.398.052,(898.486.815.948),118.600.812.157,5.989.040.050.291,6436967325797.0,18746488.0,313922583745.0,18017398052.0,-898486815948.0,118600812157.0,5989040050291.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,21.915.000.000,-,-,-,-,-,21.915.000.000,21915000000.0,,,,,,21915000000.0
Tăng khác,Tăng khác,Tăng khác,571.667.635.538,-,(570.597.908.525),(1.069.727.013),-,-,-,571667635538.0,,-570597908525.0,-1069727013.0,,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,471.358.203.606,42.455.174.533,513.813.378.139,,,,,471358203606.0,42455174533.0,513813378139.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,(230.549.961.335),(3.640.600.000),254.827.121.188,-,(24.277.159.853),-,(3.640.600.000),-230549961335.0,-3640600000.0,254827121188.0,,-24277159853.0,,-3640600000.0
Số dư cuối năm trước/ đầu năm nay,Lỗ trong năm trước > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,(3.621.853.512),(1.848.203.592),16.947.671.039,(451.405.772.195),161.055.986.690,6.521.127.828.430,6800000000000.0,-3621853512.0,-1848203592.0,16947671039.0,-451405772195.0,161055986690.0,6521127828430.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,3.640.600.000,-,60.973.465,-,-,3.701.573.465,,3640600000.0,,60973465.0,,,3701573465.0
Lãi trong năm nay,Tăng vốn trong năm nay > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,674.100.028.672,(10.138.168.148),663.961.860.524,,,,,674100028672.0,-10138168148.0,663961860524.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Lỗ trong năm > Giảm khác,Giảm khác,-,(2.105.231),-,-,-,(58.868.234),(60.973.465),,-2105231.0,,,,-58868234.0,-60973465.0
Số dư cuối năm,Lỗ trong năm > Số dư cuối năm,Số dư cuối năm,6.800.000.000.000,16.641.257,(1.848.203.592),17.008.644.504,222.694.256.477,150.858.950.308,7.188.730.288.954,6800000000000.0,16641257.0,-1848203592.0,17008644504.0,222694256477.0,150858950308.0,7188730288954.0
