row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm 2017,Từ 15/01/2016 đến 31/12/2016,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017,numeric__Từ 15/01/2016 đến 31/12/2016
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,11.152.716.360.693,9.384.313.539.225,1.0,61.0,11152716360693.0,9384313539225.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,10,6.2,11.152.716.360.693,9.384.313.539.225,10.0,62.0,11152716360693.0,9384313539225.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.3,9.411.383.805.630,8.029.361.500.407,11.0,63.0,9411383805630.0,8029361500407.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.741.332.555.063,1.354.952.038.818,20.0,,1741332555063.0,1354952038818.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.4,71.931.196.768,43.811.644.431,21.0,64.0,71931196768.0,43811644431.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.5,919.234.250.913,641.506.277.922,22.0,65.0,919234250913.0,641506277922.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,837.653.420.264,846.531.743.267,23.0,,837653420264.0,846531743267.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.8,2.348.151.589,2.015.565.664,25.0,68.0,2348151589.0,2015565664.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.8,215.044.985.803,203.511.574.146,26.0,68.0,215044985803.0,203511574146.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,676.636.363.526,551.730.265.517,30.0,,676636363526.0,551730265517.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.6,8.210.485.030,808.218.691,31.0,66.0,8210485030.0,808218691.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.7,2.330.932.808,13.780.375.313,32.0,67.0,2330932808.0,13780375313.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,5.879.552.222,(12.972.156.622),40.0,,5879552222.0,-12972156622.0
"Phần lãi lỗ trong công ty liên doanh, liên kết","Phần lãi lỗ trong công ty liên doanh, liên kết","Phần lãi lỗ trong công ty liên doanh, liên kết",45,,-,-,45.0,,,
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,682.515.915.748,538.758.108.895,50.0,,682515915748.0,538758108895.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,,-,-,51.0,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,4.554.055.224,24.944.730.756,52.0,,4554055224.0,24944730756.0
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,677.961.860.524,513.813.378.139,60.0,,677961860524.0,513813378139.0
Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,61,,688.100.028.672,42.455.174.533,61.0,,688100028672.0,42455174533.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,62,,(10.138.168.148),471.358.203.606,62.0,,-10138168148.0,471358203606.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,6.10,1.012,693,70.0,610.0,1012.0,693.0
