row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 341
A,A,A,B,1,2,3,4,5,,1.0,2.0,3.0,4.0,5.0
A,A,A,NỘ PHẢI THU,,,,,,,,,,,
I,A > I,I,CÁC KHOÀN NỘ NGÂN HẠN,7.311.299.202,53.091.731.843,24.498.066.842,-,-,,7311299202.0,53091731843.0,24498066842.0,,
1,A > 1,1,Công ty Kho vận và Căng Cẩm Phả - Vinacomin,7.010.543.430,-,24.113.506.842,-,-,,7010543430.0,,24113506842.0,,
2,A > 2,2,Công ty CP Xuất nhập khẩu Than - Vinacomin,-,-,384.560.000,-,-,,,,384560000.0,,
3,A > 3,3,Tập đoàn CN Than - Khoáng sản Việt Nam,269.649.600,49.462.811.843,-,-,-,,269649600.0,49462811843.0,,,
5,A > 5,5,Công ty Than Núi Hồng - VVMI,31.106.172,-,-,-,-,,31106172.0,,,,
7,A > 7,7,CN TCT Đông Bắc - Công ty ĐT xây dựng và thương mại,-,850.000.000,-,-,-,,,850000000.0,,,
8,A > 8,8,Viện khoa học công nghệ mỏ - Vinacomin,-,528.920.000,-,-,-,,,528920000.0,,,
9,A > 9,9,Công ty CP Đầu tư và Xây dựng - VVMI,-,1.000.000.000,-,-,-,,,1000000000.0,,,
10,A > 10,10,Công ty TNHH 1TV Môi trường - TKV,-,1.250.000.000,-,-,-,,,1250000000.0,,,
II,II,II,CÁC KHOÀN NỘ DÀI HẠN,-,-,-,-,-,,,,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,,,,,
I,B > I,I,CÁC KHOÀN NỘ NGÂN HẠN,5.094.835.326,-,888.611.808.097,2.210.085.190,-,,5094835326.0,,888611808097.0,2210085190.0,
1,B > 1,1,Công ty Kho vận và Căng Cẩm Phả - Vinacomin,-,-,859.523.260.648,2.210.085.190,-,,,,859523260648.0,2210085190.0,
2,B > 2,2,Công ty CP công nghiệp ô tô - Vinacomin,-,-,1.004.469.320,-,-,,,,1004469320.0,,
3,B > 3,3,Viện cơ khí năng lượng và mỏ - Vinacomin,-,-,1.640.551.330,-,-,,,,1640551330.0,,
